#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   1  10   1.6e-06    0.0089   11.9   0.2     1    32   113   144   113   177 0.85 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   2  10    0.0005       2.7    3.7   0.0    27    51   238   262   214   266 0.90 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   3  10  5.9e-145  3.3e-141  470.5   4.3    51   281   333   571   325   579 0.94 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   4  10    2e-109  1.1e-105  352.8   8.0   282   491   607   831   599   839 0.92 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   5  10   2.5e-67   1.4e-63  213.4   2.4   490   614   882  1010   876  1046 0.91 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   6  10     0.076   4.2e+02   -3.5   0.0   602   629  1127  1154  1119  1155 0.80 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   7  10  1.6e-127    9e-124  412.7  12.8   626   843  1195  1417  1165  1422 0.95 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   8  10   1.1e-95   6.3e-92  307.3  19.1   837  1036  1480  1702  1473  1705 0.93 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7   9  10   3.9e-28   2.2e-24   83.5   0.6  1032  1092  1727  1787  1723  1796 0.95 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122500.1-p1      -           2057 659at5820            -           1239         0 2042.5 105.7  10  10   1.3e-70   7.2e-67  224.3   5.9  1090  1225  1849  1999  1835  2011 0.91 | transcript=PVX_122500.1 | gene=PVX_122500 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:630578-636751(-) | protein_length=2057 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/659at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/659at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/659at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:43:39 2026
# [ok]
