#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   1   7     2e-79   1.8e-76  256.1  10.3     1   179     1   210     1   218 0.87 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   2   7   4.1e-34   3.8e-31  106.0  15.9   174   277   281   403   276   416 0.83 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   3   7   2.6e-77   2.4e-74  249.1  38.5   275   512   427   708   425   719 0.87 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   4   7   6.6e-52   6.1e-49  164.9  12.7   511   620   828   942   824   948 0.93 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   5   7   2.8e-99   2.6e-96  321.8  30.6   619   848  1015  1260  1006  1273 0.93 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   6   7   3.4e-55   3.1e-52  175.8   6.9   845   985  1348  1501  1339  1515 0.88 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099980.1-p1      -           1751 1702at5820           -           1168         0 1466.0 186.1   7   7   3.8e-69   3.5e-66  222.0  27.0   947  1168  1498  1749  1496  1749 0.85 | transcript=PVX_099980.1 | gene=PVX_099980 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 1 | transcript_product=merozoite surface protein 1 | location=Pv_Sal1_chr07:1157742-1162997(+) | protein_length=1751 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097625.1-p1      -            487 1702at5820           -           1168     2e-15   53.9  19.6   1   2      0.26   2.4e+02   -2.7   2.1   655   725   189   262   175   268 0.68 | transcript=PVX_097625.1 | gene=PVX_097625 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 8, putative | transcript_product=merozoite surface protein 8, putative | location=Pv_Sal1_chr10:1290568-1292031(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097625.1-p1      -            487 1702at5820           -           1168     2e-15   53.9  19.6   2   2   2.2e-18     2e-15   53.9  19.6   969  1167   275   483   272   486 0.74 | transcript=PVX_097625.1 | gene=PVX_097625 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 8, putative | transcript_product=merozoite surface protein 8, putative | location=Pv_Sal1_chr10:1290568-1292031(+) | protein_length=487 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114145.1-p1      -            479 1702at5820           -           1168     2e-11   40.7  13.5   1   1   2.8e-14   2.6e-11   40.3  13.5  1064  1165   361   473   321   476 0.78 | transcript=PVX_114145.1 | gene=PVX_114145 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 10, putative | transcript_product=merozoite surface protein 10, putative | location=Pv_Sal1_chr11:1214886-1216325(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086272.1-p1      -            358 1702at5820           -           1168   7.1e-06   22.3   9.0   1   1   9.7e-09     9e-06   21.9   9.0  1090  1166   265   355   225   357 0.73 | transcript=PVX_086272.1 | gene=PVX_086272 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr13:1963729-1964805(+) | protein_length=358 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003770.1-p1      -            387 1702at5820           -           1168      0.32    6.9   3.4   1   1   0.00043      0.39    6.6   3.4  1107  1158   321   378   313   387 0.62 | transcript=PVX_003770.1 | gene=PVX_003770 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 5 | transcript_product=merozoite surface protein 5 | location=Pv_Sal1_chr04:629406-630939(+) | protein_length=387 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003775.1-p1      -            250 1702at5820           -           1168       1.4    4.7   5.0   1   1     0.002       1.8    4.4   5.0  1107  1163   182   244   176   249 0.54 | transcript=PVX_003775.1 | gene=PVX_003775 | organism=Plasmodium_vivax_Sal-1 | gene_product=merozoite surface protein 4, putative | transcript_product=merozoite surface protein 4, putative | location=Pv_Sal1_chr04:627214-628122(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1702at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1702at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1702at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:13 2026
# [ok]
