#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085535.1-p1      -            877 3396at5820           -            652         0 1268.5  89.0   1   5   3.4e-12     5e-10   36.7  14.2     2    53    14    79    13    83 0.71 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 3396at5820           -            652         0 1268.5  89.0   2   5         0         0 1126.5  48.9    43   547   110   615    89   625 0.98 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 3396at5820           -            652         0 1268.5  89.0   3   5   2.3e-30   3.4e-28   96.8   1.4   547   612   659   726   654   756 0.92 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 3396at5820           -            652         0 1268.5  89.0   4   5   6.3e-08   9.5e-06   22.6   0.1   611   638   767   794   763   805 0.87 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085535.1-p1      -            877 3396at5820           -            652         0 1268.5  89.0   5   5     0.093        14    2.2   0.1   629   652   853   877   825   877 0.71 | transcript=PVX_085535.1 | gene=PVX_085535 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr13:1250580-1253375(+) | protein_length=877 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114645.1-p1      -            599 3396at5820           -            652   1.3e-59  200.6  21.4   1   1   8.6e-62   1.3e-59  200.6  21.4    64   503   143   572   135   599 0.86 | transcript=PVX_114645.1 | gene=PVX_114645 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase HAS1, putative | transcript_product=ATP-dependent RNA helicase HAS1, putative | location=Pv_Sal1_chr11:742767-744917(+) | protein_length=599 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002620.1-p1      -            539 3396at5820           -            652   5.7e-47  158.8  11.1   1   1   5.2e-49   7.8e-47  158.4  11.1    67   443   132   493   119   525 0.87 | transcript=PVX_002620.1 | gene=PVX_002620 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr04:143557-145176(+) | protein_length=539 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095195.1-p1      -            433 3396at5820           -            652   8.7e-46  154.9   2.4   1   1   7.5e-48   1.1e-45  154.5   2.4    28   425    24   404     9   419 0.80 | transcript=PVX_095195.1 | gene=PVX_095195 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX6, putative | transcript_product=ATP-dependent RNA helicase DDX6, putative | location=Pv_Sal1_chr08:880147-881859(-) | protein_length=433 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 3396at5820           -            652   2.1e-44  150.3   3.2   1   3   4.9e-30   7.3e-28   95.7   0.1    74   233   127   292   120   301 0.86 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 3396at5820           -            652   2.1e-44  150.3   3.2   2   3   0.00069       0.1    9.3   0.1   279   336   423   482   414   503 0.86 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_096273.1-p1      -            838 3396at5820           -            652   2.1e-44  150.3   3.2   3   3   1.9e-14   2.8e-12   44.2   0.1   339   461   591   716   584   816 0.68 | transcript=PVX_096273.1 | gene=PVX_096273 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr03:646797-649313(+) | protein_length=838 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118190.1-p1      -            528 3396at5820           -            652   1.3e-42  144.4   0.0   1   1   1.2e-44   1.8e-42  143.9   0.0    70   438   116   481    46   492 0.81 | transcript=PVX_118190.1 | gene=PVX_118190 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase DDX5, putative | transcript_product=ATP-dependent RNA helicase DDX5, putative | location=Pv_Sal1_chr12:2485618-2489052(-) | protein_length=528 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111150.1-p1      -           1015 3396at5820           -            652   6.7e-42  142.0   4.7   1   1   6.5e-44   9.7e-42  141.5   4.7    79   424   637   987   623  1006 0.83 | transcript=PVX_111150.1 | gene=PVX_111150 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:681635-685749(+) | protein_length=1015 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101465.1-p1      -            737 3396at5820           -            652   1.7e-40  137.4  19.0   1   1   1.1e-42   1.7e-40  137.4  19.0    57   449    98   512    74   521 0.78 | transcript=PVX_101465.1 | gene=PVX_101465 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | transcript_product=DEAD/DEAH box ATP-dependent RNA helicase, putative | location=Pv_Sal1_chr14:2908927-2911140(+) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 3396at5820           -            652   2.5e-40  136.9   7.3   1   2   7.4e-09   1.1e-06   25.7   0.0    74   133   133   192   122   198 0.85 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097785.1-p1      -            720 3396at5820           -            652   2.5e-40  136.9   7.3   2   2   6.8e-35     1e-32  111.7   3.6   144   443   228   522   220   553 0.83 | transcript=PVX_097785.1 | gene=PVX_097785 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent helicase, putative | transcript_product=ATP-dependent helicase, putative | location=Pv_Sal1_chr10:1166142-1168304(-) | protein_length=720 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 3396at5820           -            652   9.1e-39  131.7  17.8   1   2   2.7e-30     4e-28   96.5   7.6    78   265   251   454   237   488 0.78 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118230.1-p1      -            791 3396at5820           -            652   9.1e-39  131.7  17.8   2   2   2.4e-13   3.5e-11   40.5   2.5   337   425   597   680   536   728 0.75 | transcript=PVX_118230.1 | gene=PVX_118230 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2519590-2522382(-) | protein_length=791 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
