#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092105.1-p1      -            571 7061at5820           -            416  1.7e-250  829.7  39.8   1   2    1e-149  1.1e-146  487.6  12.3     1   239    46   296    46   301 0.97 | transcript=PVX_092105.1 | gene=PVX_092105 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr09:1096165-1097880(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092105.1-p1      -            571 7061at5820           -            416  1.7e-250  829.7  39.8   2   2  2.2e-107  2.5e-104  348.1  19.5   226   416   364   566   361   566 0.92 | transcript=PVX_092105.1 | gene=PVX_092105 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr09:1096165-1097880(+) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081520.1-p1      -            638 7061at5820           -            416   2.4e-30  104.4  35.2   1   2   1.1e-26   1.2e-23   82.3  12.0    34   222    33   236    19   241 0.86 | transcript=PVX_081520.1 | gene=PVX_081520 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr02:406181-408097(-) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081520.1-p1      -            638 7061at5820           -            416   2.4e-30  104.4  35.2   2   2   3.6e-10     4e-07   27.9  15.2   270   388   480   602   451   621 0.83 | transcript=PVX_081520.1 | gene=PVX_081520 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr02:406181-408097(-) | protein_length=638 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081515.1-p1      -            571 7061at5820           -            416   5.9e-30  103.1  30.8   1   2   1.4e-24   1.6e-21   75.4   4.5    23   222    28   226    15   238 0.92 | transcript=PVX_081515.1 | gene=PVX_081515 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr02:403010-404725(-) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081515.1-p1      -            571 7061at5820           -            416   5.9e-30  103.1  30.8   2   2   7.1e-12   7.8e-09   33.5  18.4   234   400   363   538   354   549 0.81 | transcript=PVX_081515.1 | gene=PVX_081515 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr02:403010-404725(-) | protein_length=571 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099160.1-p1      -            484 7061at5820           -            416   3.3e-09   34.8   9.6   1   2   2.9e-12   3.3e-09   34.8   9.6    73   227    78   238     6   245 0.70 | transcript=PVX_099160.1 | gene=PVX_099160 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:557819-559273(+) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099160.1-p1      -            484 7061at5820           -            416   3.3e-09   34.8   9.6   2   2       2.5   2.8e+03   -4.5  18.5   278   379   337   439   301   451 0.76 | transcript=PVX_099160.1 | gene=PVX_099160 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr07:557819-559273(+) | protein_length=484 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119735.1-p1      -            535 7061at5820           -            416    0.0039   14.8  33.2   1   2     0.001       1.1    6.7   0.9    38   134    13   112     6   129 0.70 | transcript=PVX_119735.1 | gene=PVX_119735 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr08:1232416-1234023(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119735.1-p1      -            535 7061at5820           -            416    0.0039   14.8  33.2   2   2     2e-05     0.022   12.3  25.5   263   395   355   492   330   512 0.79 | transcript=PVX_119735.1 | gene=PVX_119735 | organism=Plasmodium_vivax_Sal-1 | gene_product=transporter, putative | transcript_product=transporter, putative | location=Pv_Sal1_chr08:1232416-1234023(-) | protein_length=535 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7061at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7061at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7061at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:45:41 2026
# [ok]
