#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_086975.1-p1      -            341 7756at5820           -            296  5.8e-196  647.9   8.5   1   1  6.8e-198  7.4e-196  647.6   8.5     1   296    27   339    27   339 0.97 | transcript=PVX_086975.1 | gene=PVX_086975 | organism=Plasmodium_vivax_Sal-1 | gene_product=cAMP-dependent protein kinase catalytic subunit, putative | transcript_product=cAMP-dependent protein kinase catalytic subunit, putative | location=Pv_Sal1_chr07:1318150-1319927(+) | protein_length=341 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 7756at5820           -            296   1.3e-64  216.7   5.8   1   2       0.1        11    3.5   0.2    33    69   132   168   114   219 0.77 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101240.1-p1      -            755 7756at5820           -            296   1.3e-64  216.7   5.8   2   2   3.7e-66     4e-64  215.1   1.4     4   277   426   718   423   733 0.92 | transcript=PVX_101240.1 | gene=PVX_101240 | organism=Plasmodium_vivax_Sal-1 | gene_product=rac-beta serine/threonine protein kinase, putative | transcript_product=rac-beta serine/threonine protein kinase, putative | location=Pv_Sal1_chr14:2741352-2743752(-) | protein_length=755 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084705.1-p1      -            854 7756at5820           -            296   5.4e-52  175.3   1.0   1   1   7.4e-54     8e-52  174.7   0.2     4   257   539   808   536   836 0.89 | transcript=PVX_084705.1 | gene=PVX_084705 | organism=Plasmodium_vivax_Sal-1 | gene_product=cGMP-dependent protein kinase, putative | transcript_product=cGMP-dependent protein kinase, putative | location=Pv_Sal1_chr13:557074-560886(+) | protein_length=854 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117765.1-p1      -            861 7756at5820           -            296   1.9e-36  124.3   7.4   1   1   1.7e-38   1.9e-36  124.3   7.4    11   252   485   738   477   749 0.85 | transcript=PVX_117765.1 | gene=PVX_117765 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein kinase KIN, putative | transcript_product=serine/threonine protein kinase KIN, putative | location=Pv_Sal1_chr12:2122417-2125002(-) | protein_length=861 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 7756at5820           -            296   1.6e-29  101.5   1.2   1   2     0.016       1.7    6.2   0.0    39   122   969  1063   953  1076 0.76 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114820.1-p1      -           4008 7756at5820           -            296   1.6e-29  101.5   1.2   2   2   5.6e-29   6.1e-27   93.0   0.7     7   233  1187  1429  1183  1459 0.85 | transcript=PVX_114820.1 | gene=PVX_114820 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein kinase domain containing protein | transcript_product=protein kinase domain containing protein | location=Pv_Sal1_chr11:598226-610252(-) | protein_length=4008 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000555.1-p1      -            529 7756at5820           -            296   4.8e-29   99.9   3.7   1   1   7.4e-31     8e-29   99.2   3.7     5   250    69   331    66   358 0.83 | transcript=PVX_000555.1 | gene=PVX_000555 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 4, putative | transcript_product=calcium-dependent protein kinase 4, putative | location=Pv_Sal1_chr03:475102-476820(+) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100895.1-p1      -            508 7756at5820           -            296     7e-28   96.1   2.5   1   1   1.1e-29   1.2e-27   95.4   2.5    11   248   115   364   107   396 0.78 | transcript=PVX_100895.1 | gene=PVX_100895 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine-protein kinase 2, putative | transcript_product=serine/threonine-protein kinase 2, putative | location=Pv_Sal1_chr14:2462366-2463892(-) | protein_length=508 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 7756at5820           -            296   1.7e-27   94.8   2.5   1   1   2.6e-29   2.8e-27   94.1   2.5    12   270   163   437   152   459 0.78 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091715.1-p1      -            561 7756at5820           -            296   6.3e-27   93.0  10.5   1   2   8.5e-22   9.2e-20   69.5   2.3     2   154    30   188    29   199 0.88 | transcript=PVX_091715.1 | gene=PVX_091715 | organism=Plasmodium_vivax_Sal-1 | gene_product=3-phosphoinositide dependent protein kinase-1, putative | transcript_product=3-phosphoinositide dependent protein kinase-1, putative | location=Pv_Sal1_chr09:752574-754259(-) | protein_length=561 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
