#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118620.1-p1      -            269 10609at5820          -            225  4.8e-147  485.5   3.1   1   1  9.1e-150  5.6e-147  485.3   3.1     1   224     1   226     1   227 0.99 | transcript=PVX_118620.1 | gene=PVX_118620 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-1, putative | transcript_product=proteasome subunit alpha type-1, putative | location=Pv_Sal1_chr12:2901610-2902849(+) | protein_length=269 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114685.1-p1      -            241 10609at5820          -            225   1.1e-35  121.2   0.2   1   1   2.5e-38   1.5e-35  120.8   0.2     6   206     3   203     1   223 0.86 | transcript=PVX_114685.1 | gene=PVX_114685 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-7, putative | transcript_product=proteasome subunit alpha type-7, putative | location=Pv_Sal1_chr11:714007-715299(-) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081675.1-p1      -            256 10609at5820          -            225   7.9e-34  115.2   0.1   1   1   1.7e-36     1e-33  114.8   0.1     3   214     5   224     3   234 0.79 | transcript=PVX_081675.1 | gene=PVX_081675 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-5, putative | transcript_product=proteasome subunit alpha type-5, putative | location=Pv_Sal1_chr02:551285-552550(+) | protein_length=256 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 10609at5820          -            225   2.6e-27   93.9   0.9   1   2   5.2e-30   3.2e-27   93.6   0.3     5   200     4   204     1   219 0.86 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114680.1-p1      -            246 10609at5820          -            225   2.6e-27   93.9   0.9   2   2      0.96   5.9e+02   -2.2   0.0    93   118   222   245   206   246 0.69 | transcript=PVX_114680.1 | gene=PVX_114680 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-4, putative | transcript_product=proteasome subunit alpha type-4, putative | location=Pv_Sal1_chr11:717266-718149(+) | protein_length=246 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113585.1-p1      -            235 10609at5820          -            225   9.8e-26   88.7   0.1   1   1     2e-28   1.2e-25   88.4   0.1    12   222    12   223     3   226 0.90 | transcript=PVX_113585.1 | gene=PVX_113585 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-2, putative | transcript_product=proteasome subunit alpha type-2, putative | location=Pv_Sal1_chr11:1683647-1684506(+) | protein_length=235 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088170.1-p1      -            260 10609at5820          -            225   1.2e-21   75.3   1.8   1   1   2.8e-24   1.7e-21   74.8   1.8     4   217     7   239     4   246 0.76 | transcript=PVX_088170.1 | gene=PVX_088170 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-6, putative | transcript_product=proteasome subunit alpha type-6, putative | location=Pv_Sal1_chr01:474921-476369(-) | protein_length=260 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095380.1-p1      -            253 10609at5820          -            225   4.6e-17   60.3   3.1   1   1   9.5e-20   5.8e-17   60.0   3.1     6   192     8   200     5   231 0.82 | transcript=PVX_095380.1 | gene=PVX_095380 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit alpha type-3, putative | transcript_product=proteasome subunit alpha type-3, putative | location=Pv_Sal1_chr08:1070853-1071712(+) | protein_length=253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081375.1-p1      -            218 10609at5820          -            225     0.001   16.7   0.0   1   1   2.4e-06    0.0015   16.1   0.0    51    96    32    77     6   100 0.72 | transcript=PVX_081375.1 | gene=PVX_081375 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-3, putative | transcript_product=proteasome subunit beta type-3, putative | location=Pv_Sal1_chr02:289551-290774(+) | protein_length=218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080330.1-p1      -            241 10609at5820          -            225     0.012   13.2   0.0   1   1   3.6e-05     0.022   12.3   0.0    29    91    35   100    27   119 0.80 | transcript=PVX_080330.1 | gene=PVX_080330 | organism=Plasmodium_vivax_Sal-1 | gene_product=proteasome subunit beta type-1, putative | transcript_product=proteasome subunit beta type-1, putative | location=Pv_Sal1_chr10:584772-586334(+) | protein_length=241 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10609at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/10609at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/10609at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:26:43 2026
# [ok]
