#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   1   9   2.7e-74     5e-71  238.2   4.9     1   141     1   144     1   150 0.98 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   2   9   2.3e-16   4.2e-13   46.3   0.8   139   178   183   222   178   229 0.93 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   3   9   3.1e-75   5.7e-72  241.3   9.7   179   388   279   537   268   540 0.85 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   4   9   4.3e-26   7.9e-23   78.6   0.2   388   445   634   692   631   696 0.95 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   5   9   3.9e-55   7.2e-52  174.7  23.8   453   606   907  1093   888  1097 0.86 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   6   9   3.7e-35   6.8e-32  108.6   0.2   625   700  1212  1287  1195  1294 0.93 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   7   9  1.6e-139  2.9e-136  454.2  15.1   699   948  1314  1575  1308  1579 0.95 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   8   9   2.3e-10   4.3e-07   26.5   0.4   946   973  1660  1687  1655  1692 0.93 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 828at5820            -           1161         0 1731.4 109.3   9   9  2.4e-123  4.5e-120  400.6   0.8   966  1161  1795  1991  1784  1991 0.95 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   1   8         3   5.5e+03   -7.3   6.0   404   498   161   251   152   271 0.69 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   2   8         3   5.5e+03   -9.1   6.3   469   515  1290  1337  1255  1350 0.72 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 828at5820            -           1161   4.1e-56  188.8   8.0   3   8     0.056     1e+02   -1.3   2.1   709   757  2506  2555  2461  2566 0.73 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
