#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   1   8   6.9e-46   7.6e-43  144.7  10.9     4   112    31   152    28   158 0.89 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   2   8   4.1e-86   4.5e-83  278.0   3.9   117   293   242   436   237   439 0.93 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   3   8   3.6e-66     4e-63  211.9   5.7   290   439   459   616   451   622 0.95 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   4   8   2.7e-78     3e-75  252.0  14.7   437   660   728  1004   726  1023 0.83 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   5   8   8.8e-36   9.8e-33  111.3   1.9   658   724  1039  1105  1031  1112 0.94 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   6   8     3e-32   3.3e-29   99.6   0.1   723   795  1130  1202  1125  1207 0.96 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   7   8   3.3e-57   3.7e-54  182.2   0.8   795   902  1226  1339  1218  1346 0.93 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117800.1-p1      -           1615 780at5820            -           1124         0 1613.6  92.5   8   8  4.6e-114  5.1e-111  370.5   5.4   900  1124  1362  1601  1358  1601 0.94 | transcript=PVX_117800.1 | gene=PVX_117800 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2149759-2154815(+) | protein_length=1615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116940.1-p1      -            443 780at5820            -           1124   1.8e-08   30.9   0.3   1   1   2.1e-11   2.3e-08   30.6   0.3  1053  1122   344   406   336   408 0.84 | transcript=PVX_116940.1 | gene=PVX_116940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1410135-1411635(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 780at5820            -           1124   2.7e-07   27.0   0.7   1   3     0.029        32    0.3   1.5   759   831    53   125    46   131 0.86 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 780at5820            -           1124   2.7e-07   27.0   0.7   2   3      0.34   3.8e+02   -3.3   0.1   279   307   229   257   189   264 0.63 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
