#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089250.1-p1      -             83 15067at5820          -             67   5.4e-45  149.6   3.2   1   1   1.7e-47   7.4e-45  149.2   3.2     5    67    21    83    18    83 0.98 | transcript=PVX_089250.1 | gene=PVX_089250 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein G, putative | transcript_product=small nuclear ribonucleoprotein G, putative | location=Pv_Sal1_chr05:414681-415151(+) | protein_length=83 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084490.1-p1      -            107 15067at5820          -             67   1.5e-08   32.8   0.4   1   1   1.7e-10   7.2e-08   30.7   0.4     6    58    28    89    24    96 0.77 | transcript=PVX_084490.1 | gene=PVX_084490 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm7, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm7, putative | location=Pv_Sal1_chr13:360441-361222(+) | protein_length=107 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083405.1-p1      -             94 15067at5820          -             67     5e-07   28.0   0.0   1   1   1.6e-09   6.7e-07   27.6   0.0     9    56    34    83    25    93 0.82 | transcript=PVX_083405.1 | gene=PVX_083405 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein E, putative | transcript_product=small nuclear ribonucleoprotein E, putative | location=Pv_Sal1_chr12:148064-148815(+) | protein_length=94 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088885.1-p1      -             95 15067at5820          -             67   6.9e-06   24.3   0.8   1   1   2.1e-08   9.1e-06   23.9   0.8     8    57    16    68    11    78 0.86 | transcript=PVX_088885.1 | gene=PVX_088885 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm8, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm8, putative | location=Pv_Sal1_chr05:133974-134790(-) | protein_length=95 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118325.1-p1      -            101 15067at5820          -             67   2.5e-05   22.5   1.6   1   1   2.4e-07    0.0001   20.6   1.4     6    37    24    55    19    98 0.82 | transcript=PVX_118325.1 | gene=PVX_118325 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm5, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm5, putative | location=Pv_Sal1_chr12:2603522-2604198(-) | protein_length=101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089370.1-p1      -             91 15067at5820          -             67   3.2e-05   22.2   0.7   1   1   2.1e-06   0.00091   17.5   0.7    11    43    27    59    18    88 0.72 | transcript=PVX_089370.1 | gene=PVX_089370 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm3, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm3, putative | location=Pv_Sal1_chr05:503744-504583(+) | protein_length=91 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091835.1-p1      -            149 15067at5820          -             67   4.8e-05   21.6   0.4   1   1     2e-07   8.7e-05   20.8   0.4    12    62    27    83    18    87 0.81 | transcript=PVX_091835.1 | gene=PVX_091835 | organism=Plasmodium_vivax_Sal-1 | gene_product=LSM domain containing protein | transcript_product=LSM domain containing protein | location=Pv_Sal1_chr09:886964-887762(-) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091025.1-p1      -            127 15067at5820          -             67   0.00082   17.7   0.1   1   1   2.7e-06    0.0011   17.2   0.1    12    63    22    75    11    79 0.80 | transcript=PVX_091025.1 | gene=PVX_091025 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm4, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm4, putative | location=Pv_Sal1_chr09:179286-180121(+) | protein_length=127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085710.1-p1      -            201 15067at5820          -             67    0.0009   17.6   0.6   1   1     6e-06    0.0026   16.1   0.6     8    56    17    74    13    80 0.73 | transcript=PVX_085710.1 | gene=PVX_085710 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein-associated protein B, putative | transcript_product=small nuclear ribonucleoprotein-associated protein B, putative | location=Pv_Sal1_chr13:1446400-1447250(+) | protein_length=201 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091960.1-p1      -             86 15067at5820          -             67    0.0028   16.0   0.1   1   1   1.7e-05    0.0074   14.6   0.1    17    57    33    74    11    79 0.80 | transcript=PVX_091960.1 | gene=PVX_091960 | organism=Plasmodium_vivax_Sal-1 | gene_product=U6 snRNA-associated Sm-like protein LSm6, putative | transcript_product=U6 snRNA-associated Sm-like protein LSm6, putative | location=Pv_Sal1_chr09:987614-988500(-) | protein_length=86 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098930.1-p1      -            116 15067at5820          -             67    0.0046   15.3   0.0   1   1   1.6e-05    0.0067   14.8   0.0    25    57    37    70    23    77 0.85 | transcript=PVX_098930.1 | gene=PVX_098930 | organism=Plasmodium_vivax_Sal-1 | gene_product=small nuclear ribonucleoprotein (snRNP), putative | transcript_product=small nuclear ribonucleoprotein (snRNP), putative | location=Pv_Sal1_chr07:367055-367705(+) | protein_length=116 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
