#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   1   7   1.3e-24   1.4e-21   74.8   3.4     1    56    38    93    38   137 0.81 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   2   7   1.4e-59   1.5e-56  190.4   8.7    62   216   192   370   185   411 0.85 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   3   7   2.8e-46   3.1e-43  146.4   1.5   226   319   474   573   460   577 0.92 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   4   7   0.00088      0.98    5.9   0.0   320   336   657   673   651   683 0.87 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   5   7   3.5e-96   3.9e-93  311.3   0.0   339   532   715   915   703   926 0.92 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   6   7   1.7e-64   1.9e-61  206.6   0.0   526   643   970  1087   957  1095 0.95 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091922.1-p1      -           1216 2178at5820           -            722         0 1060.3  38.1   7   7   1.3e-42   1.4e-39  134.2   0.2   639   722  1132  1216  1123  1216 0.96 | transcript=PVX_091922.1 | gene=PVX_091922 | organism=Plasmodium_vivax_Sal-1 | gene_product=autophagy-related protein 7, putative | transcript_product=autophagy-related protein 7, putative | location=Pv_Sal1_chr09:948808-952605(-) | protein_length=1216 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100800.1-p1      -            631 2178at5820           -            722   3.8e-15   53.5   1.2   1   1   5.9e-18   6.5e-15   52.7   1.2   376   532     7   169     4   196 0.79 | transcript=PVX_100800.1 | gene=PVX_100800 | organism=Plasmodium_vivax_Sal-1 | gene_product=SUMO-activating enzyme subunit 2, putative | transcript_product=SUMO-activating enzyme subunit 2, putative | location=Pv_Sal1_chr14:2384135-2386155(+) | protein_length=631 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089560.1-p1      -            406 2178at5820           -            722   1.8e-10   38.0   0.0   1   1   2.4e-13   2.6e-10   37.5   0.0   389   470     4    82     1   120 0.90 | transcript=PVX_089560.1 | gene=PVX_089560 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme E1C, putative | transcript_product=ubiquitin-activating enzyme E1C, putative | location=Pv_Sal1_chr05:666121-667341(-) | protein_length=406 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 2178at5820           -            722   1.9e-10   38.0   3.0   1   2   1.3e-06    0.0015   15.2   1.6   383   464   209   288   195   305 0.87 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082590.1-p1      -           1649 2178at5820           -            722   1.9e-10   38.0   3.0   2   2   1.9e-08     2e-05   21.3   0.0   386   463   668   751   661   766 0.76 | transcript=PVX_082590.1 | gene=PVX_082590 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-activating enzyme, putative | transcript_product=ubiquitin-activating enzyme, putative | location=Pv_Sal1_chr12:813840-818789(-) | protein_length=1649 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
