#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087055.1-p1      -            721 7211at5820           -            625  4.6e-201  668.5   0.0   1   1  1.9e-203    6e-201  668.1   0.0     1   625     1   721     1   721 0.76 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111295.1-p1      -            858 7211at5820           -            625   1.7e-21   75.2  18.3   1   3     0.002      0.62    7.4   0.0    10    39    13    42     8    44 0.90 | transcript=PVX_111295.1 | gene=PVX_111295 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:570903-573807(-) | protein_length=858 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111295.1-p1      -            858 7211at5820           -            625   1.7e-21   75.2  18.3   2   3   0.00022     0.069   10.5   0.2   142   220   127   205    69   214 0.51 | transcript=PVX_111295.1 | gene=PVX_111295 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:570903-573807(-) | protein_length=858 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111295.1-p1      -            858 7211at5820           -            625   1.7e-21   75.2  18.3   3   3   2.8e-19   8.7e-17   59.7  10.5   282   624   494   854   475   855 0.50 | transcript=PVX_111295.1 | gene=PVX_111295 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:570903-573807(-) | protein_length=858 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 7211at5820           -            625   3.3e-10   38.0   1.9   1   3   1.2e-11   3.8e-09   34.5   0.3     6   133    15   148    11   182 0.69 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 7211at5820           -            625   3.3e-10   38.0   1.9   2   3   8.4e-05     0.026   11.9   0.1     8    72   194   255   187   259 0.90 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 7211at5820           -            625   3.3e-10   38.0   1.9   3   3       7.2   2.2e+03   -4.4   7.9   426   557   317   446   261   469 0.51 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 7211at5820           -            625   1.7e-09   35.6   8.0   1   2   0.00011     0.035   11.5   0.9     3    83    16    96    14   109 0.88 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 7211at5820           -            625   1.7e-09   35.6   8.0   2   2   9.2e-10   2.8e-07   28.3   1.1     8   143   108   250   105   268 0.71 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 7211at5820           -            625   1.7e-08   32.4   3.7   1   1   6.1e-11   1.9e-08   32.2   3.7     7   107     8   108     1   120 0.84 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 7211at5820           -            625   7.1e-08   30.3   0.0   1   2   2.2e-05    0.0067   13.8   0.0     1    36     1    36     1    58 0.78 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089205.1-p1      -            292 7211at5820           -            625   7.1e-08   30.3   0.0   2   2   1.5e-05    0.0046   14.4   0.0    15    81   163   228   156   251 0.88 | transcript=PVX_089205.1 | gene=PVX_089205 | organism=Plasmodium_vivax_Sal-1 | gene_product=clustered-asparagine-rich protein, putative | transcript_product=clustered-asparagine-rich protein, putative | location=Pv_Sal1_chr05:382086-383300(+) | protein_length=292 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
