#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111480.1-p1      -            446 7686at5820           -            351  3.8e-175  580.3  20.0   1   2   6.3e-97     5e-94  313.6   7.7     1   198    54   262    54   278 0.95 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111480.1-p1      -            446 7686at5820           -            351  3.8e-175  580.3  20.0   2   2   1.4e-84   1.1e-81  273.0   4.4   196   351   286   444   282   444 0.98 | transcript=PVX_111480.1 | gene=PVX_111480 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAP protein, putative | transcript_product=RAP protein, putative | location=Pv_Sal1_chr06:425432-427442(-) | protein_length=446 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 7686at5820           -            351   6.6e-10   36.9  20.8   1   2   4.9e-05     0.039   11.4   2.9   103   190   181   268    94   274 0.78 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119700.1-p1      -            578 7686at5820           -            351   6.6e-10   36.9  20.8   2   2   1.5e-09   1.2e-06   26.2   9.4   109   288   373   571   299   575 0.74 | transcript=PVX_119700.1 | gene=PVX_119700 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:1251368-1253104(+) | protein_length=578 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 7686at5820           -            351   2.6e-08   31.6  19.7   1   3    0.0021       1.6    6.0   2.1   107   175   314   382   276   415 0.73 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 7686at5820           -            351   2.6e-08   31.6  19.7   2   3   7.4e-07   0.00058   17.3   0.2     7    65   430   489   427   499 0.83 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123020.1-p1      -            943 7686at5820           -            351   2.6e-08   31.6  19.7   3   3   1.4e-06    0.0011   16.5   5.0   235   344   716   826   644   828 0.89 | transcript=PVX_123020.1 | gene=PVX_123020 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1076925-1079756(-) | protein_length=943 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116940.1-p1      -            443 7686at5820           -            351   7.6e-08   30.1   0.9   1   1   1.6e-10   1.2e-07   29.4   0.9   287   344   342   400   336   408 0.82 | transcript=PVX_116940.1 | gene=PVX_116940 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:1410135-1411635(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 7686at5820           -            351   5.5e-06   24.0   0.4   1   6         1     8e+02   -2.8   0.3    61   129   111   174    86   182 0.68 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 7686at5820           -            351   5.5e-06   24.0   0.4   2   6      0.08        63    0.8   0.1    90   135   275   322   224   326 0.70 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 7686at5820           -            351   5.5e-06   24.0   0.4   3   6     0.017        13    3.0   4.5    72   214   406   558   403   563 0.72 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 7686at5820           -            351   5.5e-06   24.0   0.4   4   6     0.017        13    3.0   8.3     9   195   603   798   598   806 0.68 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 7686at5820           -            351   5.5e-06   24.0   0.4   5   6    0.0014       1.1    6.6   0.0   248   284   917   953   857   957 0.88 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123955.1-p1      -           1234 7686at5820           -            351   5.5e-06   24.0   0.4   6   6   6.9e-09   5.5e-06   24.0   0.4   286   334  1026  1074  1017  1088 0.90 | transcript=PVX_123955.1 | gene=PVX_123955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1924203-1927907(+) | protein_length=1234 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111235.1-p1      -            441 7686at5820           -            351   1.1e-05   23.0   8.4   1   1   6.1e-08   4.8e-05   20.9   8.3   111   335   137   377   117   392 0.70 | transcript=PVX_111235.1 | gene=PVX_111235 | organism=Plasmodium_vivax_Sal-1 | gene_product=Secretory protein, putative | transcript_product=Secretory protein, putative | location=Pv_Sal1_chr06:619515-620840(-) | protein_length=441 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 7686at5820           -            351   1.3e-05   22.8   0.7   1   4         7   5.5e+03  -14.4  17.7    99   261    89   264    61   284 0.54 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 7686at5820           -            351   1.3e-05   22.8   0.7   2   4    0.0041       3.2    5.0   0.1    42   147   467   577   462   582 0.71 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 7686at5820           -            351   1.3e-05   22.8   0.7   3   4   0.00028      0.22    8.8   0.7   219   283   734   801   654   809 0.71 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114740.1-p1      -            994 7686at5820           -            351   1.3e-05   22.8   0.7   4   4   1.6e-08   1.3e-05   22.8   0.7   286   348   866   929   863   932 0.89 | transcript=PVX_114740.1 | gene=PVX_114740 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:675580-678564(+) | protein_length=994 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/7686at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/7686at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:48:30 2026
# [ok]
