#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   1  10   1.7e-18   2.4e-15   53.0   0.5    26   126   275   404   252   413 0.76 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   2  10   3.8e-25   5.2e-22   75.1   4.4   121   192   430   509   424   514 0.89 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   3  10         0         0 1037.3  56.7   201   804   599  1237   575  1242 0.95 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   4  10   4.3e-16     6e-13   45.1   0.2   803   847  1310  1357  1289  1363 0.84 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   5  10  1.1e-127  1.5e-124  415.2  26.3   844  1103  1433  1710  1421  1728 0.90 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   6  10  2.6e-126  3.5e-123  410.7  16.6  1119  1345  1835  2087  1816  2098 0.90 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   7  10  1.8e-143  2.5e-140  467.6  36.7  1332  1589  2110  2376  2096  2394 0.94 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   8  10  3.3e-171  4.5e-168  559.6  36.3  1586  1892  2445  2771  2439  2777 0.92 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5   9  10   4.2e-81   5.8e-78  260.7  19.6  1891  2106  2825  3084  2818  3090 0.80 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084445.1-p1      -           3294 177at5820            -           2232         0 3469.7 286.5  10  10   3.4e-58   4.7e-55  184.7  21.9  2090  2232  3094  3244  3085  3244 0.91 | transcript=PVX_084445.1 | gene=PVX_084445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cysteine repeat modular protein 3, putative | transcript_product=cysteine repeat modular protein 3, putative | location=Pv_Sal1_chr13:307322-317472(+) | protein_length=3294 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118648.1-p1      -           5540 177at5820            -           2232  4.8e-158  526.3 313.4   1  12       3.6     5e+03   -7.8   4.9  2033  2133    98   195    96   227 0.82 | transcript=PVX_118648.1 | gene=PVX_118648 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2921513-2938280(-) | protein_length=5540 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
