#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098910.1-p1      -           1353 1468at5820           -            858         0 1711.1  59.7   1   4  3.9e-281  7.3e-278  922.5  24.0     1   443     1   483     1   488 0.95 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 1468at5820           -            858         0 1711.1  59.7   2   4   6.9e-22   1.3e-18   64.9   0.1   433   484   549   600   542   618 0.88 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 1468at5820           -            858         0 1711.1  59.7   3   4  3.6e-153  6.6e-150  499.2   9.7   480   719   655   895   648   911 0.97 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098910.1-p1      -           1353 1468at5820           -            858         0 1711.1  59.7   4   4   8.1e-73   1.5e-69  233.4   5.9   716   839   952  1075   944  1084 0.96 | transcript=PVX_098910.1 | gene=PVX_098910 | organism=Plasmodium_vivax_Sal-1 | gene_product=exoribonuclease, putative | transcript_product=exoribonuclease, putative | location=Pv_Sal1_chr07:346006-350067(+) | protein_length=1353 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090990.1-p1      -            657 1468at5820           -            858   8.8e-79  263.9  33.4   1   4     0.026        48    0.1   0.1     2    19    58    75    57    87 0.83 | transcript=PVX_090990.1 | gene=PVX_090990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:151584-154806(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090990.1-p1      -            657 1468at5820           -            858   8.8e-79  263.9  33.4   2   4   7.7e-46   1.4e-42  144.1   2.5    60   266    85   275    66   288 0.89 | transcript=PVX_090990.1 | gene=PVX_090990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:151584-154806(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090990.1-p1      -            657 1468at5820           -            858   8.8e-79  263.9  33.4   3   4   1.3e-14   2.3e-11   40.8   7.0   292   415   346   476   337   493 0.75 | transcript=PVX_090990.1 | gene=PVX_090990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:151584-154806(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090990.1-p1      -            657 1468at5820           -            858   8.8e-79  263.9  33.4   4   4   2.4e-29   4.5e-26   89.5   6.8   525   672   488   635   475   649 0.83 | transcript=PVX_090990.1 | gene=PVX_090990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:151584-154806(-) | protein_length=657 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 1468at5820           -            858   4.9e-12   43.1   1.4   1   3   6.3e-07    0.0012   15.3   0.1    59   133    93   162    22   170 0.85 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 1468at5820           -            858   4.9e-12   43.1   1.4   2   3   2.2e-08     4e-05   20.2   0.0   164   250   171   262   163   275 0.82 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003660.1-p1      -            975 1468at5820           -            858   4.9e-12   43.1   1.4   3   3    0.0013       2.4    4.4   0.1   549   580   667   699   627   704 0.76 | transcript=PVX_003660.1 | gene=PVX_003660 | organism=Plasmodium_vivax_Sal-1 | gene_product=5'-3' exoribonuclease, putative | transcript_product=5'-3' exoribonuclease, putative | location=Pv_Sal1_chr04:698906-701833(+) | protein_length=975 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
