#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   1  19   2.3e-89   1.3e-85  285.8   7.9     2   170     6   176     5   180 0.97 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   2  19   5.6e-82   3.1e-78  261.3   1.1   164   376   209   444   203   450 0.91 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   3  19   9.6e-58   5.3e-54  180.9   0.3   375   488   514   627   510   631 0.98 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   4  19   1.5e-36   8.2e-33  110.6  19.5   488   591   662   792   658   799 0.83 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   5  19   4.2e-09   2.3e-05   19.5   0.1   589   644   825   894   815   907 0.78 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   6  19  3.6e-142    2e-138  461.0   0.8   639  1034   957  1422   954  1431 0.88 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   7  19   2.3e-60   1.3e-56  189.6   0.1  1028  1186  1505  1695  1497  1699 0.86 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   8  19  1.1e-109  5.9e-106  353.2   7.3  1186  1440  1749  2037  1743  2048 0.91 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6   9  19   9.1e-09     5e-05   18.4   1.0  1434  1466  2099  2133  2093  2135 0.81 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  10  19   5.8e-16   3.2e-12   42.2   0.3  1465  1500  2182  2217  2179  2224 0.94 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  11  19   3.5e-66   1.9e-62  208.9   8.6  1500  1636  2361  2502  2358  2505 0.93 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  12  19   1.7e-34   9.4e-31  103.7   0.9  1635  1711  2554  2630  2549  2639 0.94 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  13  19  5.2e-109  2.9e-105  351.0   9.2  1719  2021  2678  3056  2666  3058 0.83 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  14  19  2.6e-159  1.4e-155  517.9  12.9  2021  2312  3088  3395  3073  3421 0.95 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  15  19     4e-48   2.2e-44  148.9   0.2  2326  2418  3465  3558  3458  3576 0.92 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  16  19   1.9e-49   1.1e-45  153.3   2.3  2423  2517  3641  3741  3638  3747 0.94 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  17  19   2.1e-21   1.1e-17   60.3   0.7  2516  2580  3776  3859  3771  3864 0.78 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  18  19   4.8e-38   2.7e-34  115.5   0.0  2585  2704  4047  4210  4041  4216 0.75 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089990.1-p1      -           4434 83at5820             -           2879         0 3784.0 204.6  19  19   4.2e-88   2.3e-84  281.6  17.4  2704  2878  4247  4433  4244  4434 0.95 | transcript=PVX_089990.1 | gene=PVX_089990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr05:1007030-1021592(+) | protein_length=4434 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/83at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/83at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/83at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:46:57 2026
# [ok]
