#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085565.1-p1      -            972 1986at5820           -            897         0 1991.7  39.2   1   1         0         0 1983.0  39.2     1   897    11   972    11   972 0.97 | transcript=PVX_085565.1 | gene=PVX_085565 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM2, putative | transcript_product=DNA replication licensing factor MCM2, putative | location=Pv_Sal1_chr13:1282041-1285136(-) | protein_length=972 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1986at5820           -            897   4.9e-74  248.0   9.1   1   3         8   5.5e+03  -13.7  16.5    28   131    13   114     2   123 0.53 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1986at5820           -            897   4.9e-74  248.0   9.1   2   3   2.2e-19   1.5e-16   57.8   0.3   190   399   142   353   123   373 0.82 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114735.1-p1      -            944 1986at5820           -            897   4.9e-74  248.0   9.1   3   3   3.6e-63   2.5e-60  202.7   3.3   421   778   421   758   388   778 0.84 | transcript=PVX_114735.1 | gene=PVX_114735 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM6, putative | transcript_product=DNA replication licensing factor MCM6, putative | location=Pv_Sal1_chr11:679166-682000(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 1986at5820           -            897   8.5e-71  237.3   4.2   1   2   6.1e-65   4.2e-62  208.5   0.6   263   665   162   582   150   589 0.82 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084615.1-p1      -            758 1986at5820           -            897   8.5e-71  237.3   4.2   2   2   2.4e-10   1.6e-07   27.9   0.2   693   777   588   673   580   694 0.82 | transcript=PVX_084615.1 | gene=PVX_084615 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM5, putative | transcript_product=DNA replication licensing factor MCM5, putative | location=Pv_Sal1_chr13:484118-486858(+) | protein_length=758 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 1986at5820           -            897   2.1e-69  232.7  12.5   1   3     6e-11   4.1e-08   29.9   4.0   249   448   252   461   222   465 0.79 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 1986at5820           -            897   2.1e-69  232.7  12.5   2   3   7.1e-64   4.9e-61  205.0   0.1   429   657   474   701   459   710 0.91 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122675.1-p1      -            955 1986at5820           -            897   2.1e-69  232.7  12.5   3   3     0.012       8.2    2.4   0.1   692   774   774   851   757   861 0.78 | transcript=PVX_122675.1 | gene=PVX_122675 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM4, putative | transcript_product=DNA replication licensing factor MCM4, putative | location=Pv_Sal1_chr14:772315-775182(+) | protein_length=955 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1986at5820           -            897   2.7e-68  229.0   0.3   1   2      0.54   3.7e+02   -3.1   0.1   823   872   136   189    93   194 0.68 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087810.1-p1      -            832 1986at5820           -            897   2.7e-68  229.0   0.3   2   2   3.9e-71   2.7e-68  229.0   0.3   284   784   227   720   199   742 0.79 | transcript=PVX_087810.1 | gene=PVX_087810 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA replication licensing factor MCM7, putative | transcript_product=DNA replication licensing factor MCM7, putative | location=Pv_Sal1_chr01:185096-187594(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
