#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_122985.1-p1      -            771 3302at5820           -            593         0 1262.2  31.4   1   2  3.6e-135  1.3e-132  441.6   5.9     1   205    99   308    99   328 0.96 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122985.1-p1      -            771 3302at5820           -            593         0 1262.2  31.4   2   2  8.7e-252  3.2e-249  826.7  17.4   204   593   364   769   357   769 0.96 | transcript=PVX_122985.1 | gene=PVX_122985 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein TypA, putative | transcript_product=GTP-binding protein TypA, putative | location=Pv_Sal1_chr14:1053579-1055894(+) | protein_length=771 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 3302at5820           -            593   6.2e-29   99.2  13.3   1   3     5e-25   1.8e-22   77.9   2.4     7   146    95   249    91   288 0.79 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 3302at5820           -            593   6.2e-29   99.2  13.3   2   3     3e-08   1.1e-05   22.5   2.4   208   384   478   651   466   660 0.70 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113285.1-p1      -            920 3302at5820           -            593   6.2e-29   99.2  13.3   3   3     0.022       8.2    3.1   0.0   389   456   826   898   816   910 0.69 | transcript=PVX_113285.1 | gene=PVX_113285 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr11:1938527-1941764(+) | protein_length=920 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 3302at5820           -            593   2.5e-28   97.2   9.8   1   3   1.5e-22   5.7e-20   69.6   0.2     8   134    38   177    32   197 0.78 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 3302at5820           -            593   2.5e-28   97.2   9.8   2   3   9.4e-10   3.5e-07   27.4   1.3   224   382   407   562   378   569 0.71 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100600.1-p1      -            775 3302at5820           -            593   2.5e-28   97.2   9.8   3   3      0.01       3.7    4.2   0.1   391   463   685   761   667   768 0.83 | transcript=PVX_100600.1 | gene=PVX_100600 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor G, putative | transcript_product=elongation factor G, putative | location=Pv_Sal1_chr14:2213074-2215401(-) | protein_length=775 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 3302at5820           -            593     4e-26   90.0   9.6   1   2   7.9e-28   2.9e-25   87.1   8.1     9   277   189   441   186   515 0.71 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 3302at5820           -            593     4e-26   90.0   9.6   2   2      0.35   1.3e+02   -0.9   0.0   355   384   577   607   538   621 0.80 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 3302at5820           -            593   1.6e-20   71.5   1.8   1   2   1.5e-22   5.5e-20   69.7   0.6     7   150    15   170     9   186 0.79 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117925.1-p1      -            832 3302at5820           -            593   1.6e-20   71.5   1.8   2   2      0.15        56    0.3   0.0   319   385   487   555   361   561 0.54 | transcript=PVX_117925.1 | gene=PVX_117925 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 2, putative | transcript_product=elongation factor 2, putative | location=Pv_Sal1_chr12:2264669-2267167(-) | protein_length=832 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 3302at5820           -            593   2.9e-19   67.3   5.4   1   2   1.5e-09   5.5e-07   26.8   0.4     7    66     9    73     4    83 0.77 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 3302at5820           -            593   2.9e-19   67.3   5.4   2   2   3.3e-14   1.2e-11   42.2   0.6    68   148   173   258   163   308 0.75 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082470.1-p1      -            456 3302at5820           -            593   7.7e-17   59.3   3.5   1   1   2.5e-19   9.4e-17   59.0   3.5    12   278    73   342    62   378 0.81 | transcript=PVX_082470.1 | gene=PVX_082470 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor Tu, mitochondrial precursor, putative | transcript_product=elongation factor Tu, mitochondrial precursor, putative | location=Pv_Sal1_chr12:890022-891392(+) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100720.1-p1      -           1101 3302at5820           -            593     2e-14   51.3   0.4   1   1     1e-16   3.7e-14   50.5   0.4     9   134    23   153    19   185 0.77 | transcript=PVX_100720.1 | gene=PVX_100720 | organism=Plasmodium_vivax_Sal-1 | gene_product=tetQ family GTPase, putative | transcript_product=tetQ family GTPase, putative | location=Pv_Sal1_chr14:2326942-2330247(-) | protein_length=1101 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 3302at5820           -            593   8.3e-13   46.0   8.4   1   3    0.0012      0.43    7.3   0.0     8    39   180   211   175   217 0.85 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 3302at5820           -            593   8.3e-13   46.0   8.4   2   3   5.9e-14   2.2e-11   41.3   2.5    55   134   310   388   296   410 0.91 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 3302at5820           -            593   8.3e-13   46.0   8.4   3   3       1.6   5.8e+02   -3.0   0.1   216   244   623   651   608   710 0.65 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114830.1-p1      -            443 3302at5820           -            593   1.9e-08   31.6   0.8   1   1   2.8e-10     1e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVX_114830.1 | gene=PVX_114830 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:592949-594280(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114832.1-p1      -            443 3302at5820           -            593   1.9e-08   31.6   0.8   1   1   2.8e-10     1e-07   29.1   0.8    39   163    55   187     3   299 0.69 | transcript=PVX_114832.1 | gene=PVX_114832 | organism=Plasmodium_vivax_Sal-1 | gene_product=elongation factor 1-alpha, putative | transcript_product=elongation factor 1-alpha, putative | location=Pv_Sal1_chr11:590205-591536(-) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 3302at5820           -            593   8.9e-07   26.1   3.0   1   2   3.8e-09   1.4e-06   25.4   2.5    10   159   765   906   759   926 0.77 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 3302at5820           -            593   8.9e-07   26.1   3.0   2   2       1.8   6.8e+02   -3.3   0.0   280   329  1011  1060  1001  1070 0.79 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 3302at5820           -            593   9.1e-06   22.7   0.9   1   1   4.7e-08   1.7e-05   21.8   0.9    13   180   592   746   579   759 0.73 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091785.1-p1      -            547 3302at5820           -            593   7.1e-05   19.8   0.1   1   1   1.1e-06   0.00042   17.2   0.1     6   137   106   264   100   312 0.67 | transcript=PVX_091785.1 | gene=PVX_091785 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor EF-1, subunit alpha, putative | transcript_product=translation elongation factor EF-1, subunit alpha, putative | location=Pv_Sal1_chr09:845064-846906(+) | protein_length=547 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 3302at5820           -            593     0.056   10.2   1.1   1   2     0.036        13    2.4   0.0    13    57     5    45     2    50 0.85 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 3302at5820           -            593     0.056   10.2   1.1   2   2    0.0031       1.1    5.9   0.5    72   134   128   189   122   208 0.81 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3302at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3302at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:36:23 2026
# [ok]
