#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089555.1-p1      -            761 4626at5820           -            498  2.2e-220  730.7  22.8   1   6   2.3e-20   3.2e-17   60.5   0.0     7    55    97   145    93   151 0.94 | transcript=PVX_089555.1 | gene=PVX_089555 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA modification GTPase trmE, putative | transcript_product=tRNA modification GTPase trmE, putative | location=Pv_Sal1_chr05:663496-665781(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089555.1-p1      -            761 4626at5820           -            498  2.2e-220  730.7  22.8   2   6   2.8e-46   3.9e-43  145.9   2.4    55   148   192   285   189   296 0.96 | transcript=PVX_089555.1 | gene=PVX_089555 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA modification GTPase trmE, putative | transcript_product=tRNA modification GTPase trmE, putative | location=Pv_Sal1_chr05:663496-665781(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089555.1-p1      -            761 4626at5820           -            498  2.2e-220  730.7  22.8   3   6  1.5e-101     2e-98  328.3   0.6   145   336   309   500   293   508 0.95 | transcript=PVX_089555.1 | gene=PVX_089555 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA modification GTPase trmE, putative | transcript_product=tRNA modification GTPase trmE, putative | location=Pv_Sal1_chr05:663496-665781(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089555.1-p1      -            761 4626at5820           -            498  2.2e-220  730.7  22.8   4   6   0.00052      0.71    6.5   0.0   331   350   518   537   503   539 0.89 | transcript=PVX_089555.1 | gene=PVX_089555 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA modification GTPase trmE, putative | transcript_product=tRNA modification GTPase trmE, putative | location=Pv_Sal1_chr05:663496-665781(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089555.1-p1      -            761 4626at5820           -            498  2.2e-220  730.7  22.8   5   6   2.2e-28   3.1e-25   86.9   1.7   331   430   535   669   534   672 0.76 | transcript=PVX_089555.1 | gene=PVX_089555 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA modification GTPase trmE, putative | transcript_product=tRNA modification GTPase trmE, putative | location=Pv_Sal1_chr05:663496-665781(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089555.1-p1      -            761 4626at5820           -            498  2.2e-220  730.7  22.8   6   6   1.6e-34   2.2e-31  107.2   0.1   430   498   693   761   687   761 0.98 | transcript=PVX_089555.1 | gene=PVX_089555 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA modification GTPase trmE, putative | transcript_product=tRNA modification GTPase trmE, putative | location=Pv_Sal1_chr05:663496-665781(-) | protein_length=761 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 4626at5820           -            498   5.1e-12   43.3  20.1   1   3   0.00064      0.88    6.2   0.1   275   361   310   396   296   423 0.81 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 4626at5820           -            498   5.1e-12   43.3  20.1   2   3      0.22   3.1e+02   -2.1   0.1   381   392   514   525   508   531 0.81 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123540.1-p1      -            887 4626at5820           -            498   5.1e-12   43.3  20.1   3   3   1.9e-14   2.6e-11   41.0  12.6   248   401   557   721   552   770 0.71 | transcript=PVX_123540.1 | gene=PVX_123540 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr14:1506375-1509038(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 4626at5820           -            498   2.7e-08   31.0   0.3   1   2     5e-08   6.9e-05   19.8   0.0   273   377   105   211    96   218 0.73 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084745.1-p1      -            499 4626at5820           -            498   2.7e-08   31.0   0.3   2   2   9.7e-05      0.13    8.9   0.2   378   431   328   386   324   419 0.69 | transcript=PVX_084745.1 | gene=PVX_084745 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTPase Era, putative | transcript_product=GTPase Era, putative | location=Pv_Sal1_chr13:596635-598134(-) | protein_length=499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
