#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117735.1-p1      -            152 13271at5820          -            126     6e-68  225.4  31.0   1   2   1.5e-15   2.7e-12   45.5   6.3     1    35     1    35     1    43 0.90 | transcript=PVX_117735.1 | gene=PVX_117735 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2106109-2106567(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117735.1-p1      -            152 13271at5820          -            126     6e-68  225.4  31.0   2   2   1.2e-58   2.1e-55  184.8  18.6    28   126    45   150    32   150 0.91 | transcript=PVX_117735.1 | gene=PVX_117735 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2106109-2106567(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117700.1-p1      -            624 13271at5820          -            126   8.7e-13   47.1  16.4   1   5    0.0039       7.2    5.3   0.3    93   123   112   142   106   145 0.79 | transcript=PVX_117700.1 | gene=PVX_117700 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2085633-2087507(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117700.1-p1      -            624 13271at5820          -            126   8.7e-13   47.1  16.4   2   5   4.7e-16   8.7e-13   47.1  16.4    29   104   174   249   159   260 0.90 | transcript=PVX_117700.1 | gene=PVX_117700 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2085633-2087507(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117700.1-p1      -            624 13271at5820          -            126   8.7e-13   47.1  16.4   3   5       0.4   7.3e+02   -1.1   0.3    88   102   327   341   301   397 0.62 | transcript=PVX_117700.1 | gene=PVX_117700 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2085633-2087507(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117700.1-p1      -            624 13271at5820          -            126   8.7e-13   47.1  16.4   4   5      0.94   1.7e+03   -2.4   1.3    61    91   447   478   427   516 0.53 | transcript=PVX_117700.1 | gene=PVX_117700 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2085633-2087507(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117700.1-p1      -            624 13271at5820          -            126   8.7e-13   47.1  16.4   5   5         1   1.9e+03   -2.5   0.5    25    40   501   515   482   553 0.57 | transcript=PVX_117700.1 | gene=PVX_117700 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2085633-2087507(-) | protein_length=624 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117740.1-p1      -            189 13271at5820          -            126   7.4e-10   37.6   7.9   1   2     4e-13   7.4e-10   37.6   7.9    48   102    15    69     4    96 0.81 | transcript=PVX_117740.1 | gene=PVX_117740 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2107876-2108445(-) | protein_length=189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117740.1-p1      -            189 13271at5820          -            126   7.4e-10   37.6   7.9   2   2      0.19   3.6e+02   -0.1   0.1    50    68   132   150   114   165 0.70 | transcript=PVX_117740.1 | gene=PVX_117740 | organism=Plasmodium_vivax_Sal-1 | gene_product=Pv-fam-g protein | transcript_product=Pv-fam-g protein | location=Pv_Sal1_chr12:2107876-2108445(-) | protein_length=189 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13271at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/13271at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/13271at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:29:14 2026
# [ok]
