#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113995.1-p1      -           1281 2168at5820           -            946         0 1726.0 128.5   1   5  1.2e-146  2.2e-143  477.7  30.5     1   233     1   234     1   242 0.98 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 2168at5820           -            946         0 1726.0 128.5   2   5     7e-69   1.3e-65  220.3  11.7   232   362   333   475   329   482 0.93 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 2168at5820           -            946         0 1726.0 128.5   3   5  7.4e-111  1.4e-107  359.2  17.5   363   552   532   721   516   725 0.94 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 2168at5820           -            946         0 1726.0 128.5   4   5     5e-91   9.2e-88  293.6   8.1   549   707   765   930   760   951 0.94 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 2168at5820           -            946         0 1726.0 128.5   5   5  3.4e-121  6.3e-118  393.4  28.8   705   946  1004  1281   996  1281 0.90 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 2168at5820           -            946   7.4e-31  105.3  45.5   1   4   6.7e-27   1.2e-23   81.4   9.3     9   178     5   169     1   182 0.93 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 2168at5820           -            946   7.4e-31  105.3  45.5   2   4   9.3e-12   1.7e-08   31.3  12.6   370   540   321   487   304   537 0.79 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 2168at5820           -            946   7.4e-31  105.3  45.5   3   4      0.05        92   -0.9   2.3   341   434   553   646   547   651 0.66 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 2168at5820           -            946   7.4e-31  105.3  45.5   4   4   2.8e-05     0.052    9.8   1.4   613   683   637   707   620   727 0.83 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2168at5820           -            946   8.3e-21   72.0  33.1   1   4   3.2e-17   5.9e-14   49.3  14.4    13   214    20   212    13   222 0.84 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 2168at5820           -            946   8.3e-21   72.0  33.1   2   4   7.6e-14   1.4e-10   38.2  10.7   330   524   243   434   218   456 0.80 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
