#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   1  29   1.6e-22   8.8e-19   63.5   0.2    33    86   165   218   161   223 0.95 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   2  29   9.5e-35   5.2e-31  104.1   0.7    87   160   273   346   261   350 0.92 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   3  29     4e-18   2.2e-14   48.9   0.4   156   209   374   429   371   445 0.92 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   4  29   7.9e-90   4.4e-86  286.9   3.6   213   391   486   686   476   693 0.89 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   5  29  3.6e-159    2e-155  517.1  14.3   396   711   725  1063   717  1069 0.96 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   6  29   2.4e-55   1.3e-51  172.4   0.1   725   815  1130  1220  1116  1242 0.88 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   7  29   7.8e-95   4.3e-91  303.5   0.2   810   995  1256  1455  1253  1466 0.92 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   8  29  3.3e-219  1.8e-215  716.4   4.9   986  1311  1489  1814  1483  1820 0.99 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8   9  29         0         0 1298.1  14.3  1311  1988  1843  2598  1836  2617 0.91 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8  10  29  4.3e-137  2.4e-133  443.8   8.5  1997  2272  2666  2978  2656  2983 0.91 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084810.1-p1      -           7326 40at5820             -           4729         0 6821.3 415.8  11  29   3.1e-08   0.00017   16.0   0.0  2248  2302  3041  3095  3036  3099 0.91 | transcript=PVX_084810.1 | gene=PVX_084810 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein-related AAA-type ATPase, putative | transcript_product=dynein-related AAA-type ATPase, putative | location=Pv_Sal1_chr13:651512-673492(+) | protein_length=7326 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
