#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   1   6         0         0 1080.4  29.7     1   469     4   472     4   482 0.99 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   2   6  2.2e-115  3.1e-112  374.4  15.5   459   664   595   807   584   827 0.93 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   3   6   3.1e-07   0.00043   16.6   6.8   663   697   840   874   820   933 0.74 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   4   6   0.00034      0.47    6.5   3.0   687   740  1011  1067  1004  1072 0.79 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   5   6   5.9e-11   8.1e-08   28.9   5.4   705   756  1073  1136  1068  1157 0.76 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098650.1-p1      -           1319 1635at5820           -            845         0 1614.7 108.4   6   6   3.1e-44   4.3e-41  139.0   8.4   750   845  1223  1319  1170  1319 0.92 | transcript=PVX_098650.1 | gene=PVX_098650 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-4 complex subunit epsilon, putative | transcript_product=AP-4 complex subunit epsilon, putative | location=Pv_Sal1_chr07:91186-96203(-) | protein_length=1319 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 1635at5820           -            845   5.7e-39  132.0  38.6   1   3   1.5e-22   2.1e-19   67.3   9.4    13   261     5   256     1   262 0.86 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 1635at5820           -            845   5.7e-39  132.0  38.6   2   3   1.2e-23   1.7e-20   70.9   9.6   270   448   311   488   299   500 0.91 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117690.1-p1      -           1038 1635at5820           -            845   5.7e-39  132.0  38.6   3   3   0.00057      0.78    5.8   3.7   543   590   635   681   545   689 0.71 | transcript=PVX_117690.1 | gene=PVX_117690 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-1 complex subunit gamma, putative | transcript_product=AP-1 complex subunit gamma, putative | location=Pv_Sal1_chr12:2076066-2079617(-) | protein_length=1038 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1635at5820           -            845   2.1e-22   77.2  29.0   1   4   2.8e-19   3.8e-16   56.5  16.8    16   209    12   214     4   223 0.87 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113995.1-p1      -           1281 1635at5820           -            845   2.1e-22   77.2  29.0   2   4     4e-13   5.5e-10   36.1   4.2   288   432   547   694   527   735 0.80 | transcript=PVX_113995.1 | gene=PVX_113995 | organism=Plasmodium_vivax_Sal-1 | gene_product=AP-2 complex subunit alpha, putative | transcript_product=AP-2 complex subunit alpha, putative | location=Pv_Sal1_chr11:1328430-1333463(-) | protein_length=1281 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
