#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087775.1-p1      -           3825 221at5820            -           2863         0 4231.3 280.1   1   5    4e-230  1.2e-227  757.1  77.4     1   482     1   583     1   588 0.84 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 221at5820            -           2863         0 4231.3 280.1   2   5  1.6e-166  4.7e-164  546.1  22.5   464   872   600  1148   587  1155 0.84 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 221at5820            -           2863         0 4231.3 280.1   3   5  4.9e-149  1.4e-146  488.1  12.8   880  1247  1191  1697  1179  1710 0.84 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 221at5820            -           2863         0 4231.3 280.1   4   5  8.8e-204  2.6e-201  669.7  46.6  1237  1789  1757  2519  1693  2527 0.84 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087775.1-p1      -           3825 221at5820            -           2863         0 4231.3 280.1   5   5         0         0 1786.2  89.4  1789  2863  2549  3825  2538  3825 0.88 | transcript=PVX_087775.1 | gene=PVX_087775 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr01:137109-150030(-) | protein_length=3825 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091605.1-p1      -           1991 221at5820            -           2863   3.2e-21   72.2   0.9   1   1   1.7e-23     5e-21   71.5   0.9  2676  2857  1809  1986  1804  1991 0.96 | transcript=PVX_091605.1 | gene=PVX_091605 | organism=Plasmodium_vivax_Sal-1 | gene_product=ubiquitin-protein ligase, putative | transcript_product=ubiquitin-protein ligase, putative | location=Pv_Sal1_chr09:637966-643941(+) | protein_length=1991 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 221at5820            -           2863   1.8e-19   66.4  25.2   1   6     0.013       3.9    2.2   5.6   148   183  2561  2596  2483  2716 0.66 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 221at5820            -           2863   1.8e-19   66.4  25.2   2   6       4.9   1.4e+03   -6.3   6.3  2129  2377  3236  3537  3231  3601 0.41 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 221at5820            -           2863   1.8e-19   66.4  25.2   3   6       6.7   1.9e+03   -6.7   3.8   860   947  4469  4558  4461  4560 0.75 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 221at5820            -           2863   1.8e-19   66.4  25.2   4   6       3.2   9.4e+02   -5.7   5.7  2219  2326  6026  6150  5908  6212 0.45 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089055.1-p1      -           8564 221at5820            -           2863   1.8e-19   66.4  25.2   5   6      0.56   1.6e+02   -3.2   9.7   168   272  7331  7438  7223  7456 0.74 | transcript=PVX_089055.1 | gene=PVX_089055 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr05:260009-285703(+) | protein_length=8564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
