#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   1  12   3.1e-18   1.7e-14   51.0   3.3     1    63     1    68     1    72 0.86 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   2  12   1.2e-37   6.5e-34  115.2   0.1    58   151   109   202    98   211 0.94 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   3  12   2.5e-57   1.4e-53  180.4  12.6   137   249   233   346   213   356 0.92 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   4  12   4.2e-32   2.3e-28   96.9   0.3   249   334   412   518   405   521 0.85 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   5  12   7.3e-50     4e-46  155.7   3.6   341   460   596   719   576   739 0.89 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   6  12   2.1e-27   1.2e-23   81.3   7.7   453   536   778   860   747   865 0.76 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   7  12   8.2e-10   4.6e-06   23.1   0.1   533   576   943   994   938  1005 0.82 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   8  12   2.2e-74   1.2e-70  236.8  16.1   567   724  1223  1384  1213  1394 0.93 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2   9  12   4.6e-39   2.6e-35  119.9   0.2   727   825  1470  1570  1464  1578 0.92 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2  10  12   0.00023       1.3    5.0   0.0   829   853  1674  1698  1667  1702 0.89 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2  11  12   2.8e-42   1.6e-38  130.5  10.5   852   950  1734  1833  1732  1844 0.94 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099247.1-p1      -           1944 2274at5820           -           1023         0 1254.0 124.2  12  12   1.2e-34   6.4e-31  105.3   3.9   952  1023  1861  1943  1845  1943 0.89 | transcript=PVX_099247.1 | gene=PVX_099247 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr07:615680-621514(+) | protein_length=1944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2274at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2274at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:05 2026
# [ok]
