#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118162.1-p1      -            168 12707at5820          -            166  1.1e-113  375.2   8.2   1   1  4.2e-116  1.2e-113  375.0   8.2     1   166     3   168     3   168 1.00 | transcript=PVX_118162.1 | gene=PVX_118162 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-2, putative | transcript_product=centrin-2, putative | location=Pv_Sal1_chr12:2454218-2454979(+) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081420.1-p1      -            168 12707at5820          -            166   5.9e-48  161.4  11.6   1   1   2.4e-50     7e-48  161.1  11.6    13   164    15   166     8   168 0.96 | transcript=PVX_081420.1 | gene=PVX_081420 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-1, putative | transcript_product=centrin-1, putative | location=Pv_Sal1_chr02:330838-332149(-) | protein_length=168 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111335.1-p1      -            179 12707at5820          -            166   2.3e-42  143.2   8.1   1   1   9.1e-45   2.6e-42  143.0   8.1    16   164    29   177    15   179 0.96 | transcript=PVX_111335.1 | gene=PVX_111335 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-3, putative | transcript_product=centrin-3, putative | location=Pv_Sal1_chr06:546872-548272(-) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084825.1-p1      -            149 12707at5820          -            166   5.3e-32  109.5   8.6   1   1   2.1e-34   6.2e-32  109.3   8.6    19   162     5   148     2   149 0.98 | transcript=PVX_084825.1 | gene=PVX_084825 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr13:682270-683268(+) | protein_length=149 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090955.1-p1      -            167 12707at5820          -            166   3.8e-24   83.9   4.5   1   1   1.7e-26     5e-24   83.5   4.5    19   160    11   152     5   156 0.96 | transcript=PVX_090955.1 | gene=PVX_090955 | organism=Plasmodium_vivax_Sal-1 | gene_product=centrin-4, putative | transcript_product=centrin-4, putative | location=Pv_Sal1_chr09:127686-128461(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117895.1-p1      -            177 12707at5820          -            166   1.9e-13   49.1   5.0   1   1   8.6e-16   2.5e-13   48.7   5.0     9   161    12   165     4   169 0.89 | transcript=PVX_117895.1 | gene=PVX_117895 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase 2b regulatory subunit, putative | transcript_product=protein phosphatase 2b regulatory subunit, putative | location=Pv_Sal1_chr12:2237222-2238653(+) | protein_length=177 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082820.1-p1      -            563 12707at5820          -            166   1.1e-07   30.3   3.5   1   1   9.3e-10   2.7e-07   29.1   3.5    20   161   419   560   411   563 0.81 | transcript=PVX_082820.1 | gene=PVX_082820 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase, putative | transcript_product=calcium-dependent protein kinase, putative | location=Pv_Sal1_chr12:667298-668989(+) | protein_length=563 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119610.1-p1      -            602 12707at5820          -            166   1.3e-07   30.1   1.1   1   1   1.1e-09   3.1e-07   28.9   1.1    22   160   458   598   436   601 0.79 | transcript=PVX_119610.1 | gene=PVX_119610 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 3, putative | transcript_product=calcium-dependent protein kinase 3, putative | location=Pv_Sal1_chr08:1342181-1345145(-) | protein_length=602 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 12707at5820          -            166   2.7e-07   29.1   5.5   1   2     0.048        14    4.0   0.2    90   125    16    51    11    68 0.78 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113440.1-p1      -            158 12707at5820          -            166   2.7e-07   29.1   5.5   2   2   4.5e-09   1.3e-06   26.9   2.1    75   158    70   153    54   157 0.91 | transcript=PVX_113440.1 | gene=PVX_113440 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-binding protein, putative | transcript_product=calcium-binding protein, putative | location=Pv_Sal1_chr11:1812622-1813098(+) | protein_length=158 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12707at5820          -            166   7.5e-07   27.7   6.0   1   2   7.9e-07   0.00023   19.6   0.2   100   143    13    56     4    70 0.90 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111185.1-p1      -            236 12707at5820          -            166   7.5e-07   27.7   6.0   2   2   0.00051      0.15   10.4   1.3    76   146   148   218   136   234 0.86 | transcript=PVX_111185.1 | gene=PVX_111185 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin, putative | transcript_product=calmodulin, putative | location=Pv_Sal1_chr06:659475-660185(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 12707at5820          -            166   8.4e-07   27.5   8.8   1   2     0.002      0.57    8.5   2.5    85   165   364   452   337   454 0.76 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002665.1-p1      -            526 12707at5820          -            166   8.4e-07   27.5   8.8   2   2   2.1e-07   6.2e-05   21.4   0.5    25    87   457   517   454   525 0.74 | transcript=PVX_002665.1 | gene=PVX_002665 | organism=Plasmodium_vivax_Sal-1 | gene_product=calcium-dependent protein kinase 1, putative | transcript_product=calcium-dependent protein kinase 1, putative | location=Pv_Sal1_chr04:172141-174649(-) | protein_length=526 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089667.1-p1      -            150 12707at5820          -            166   3.3e-06   25.6   1.7   1   2   2.3e-06   0.00068   18.0   0.1    93   161     7    72     2    76 0.89 | transcript=PVX_089667.1 | gene=PVX_089667 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=Pv_Sal1_chr05:749550-750532(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089667.1-p1      -            150 12707at5820          -            166   3.3e-06   25.6   1.7   2   2    0.0046       1.4    7.3   0.2   110   158    94   145    78   150 0.77 | transcript=PVX_089667.1 | gene=PVX_089667 | organism=Plasmodium_vivax_Sal-1 | gene_product=calmodulin-like protein | transcript_product=calmodulin-like protein | location=Pv_Sal1_chr05:749550-750532(-) | protein_length=150 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
