#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_100980.1-p1      -            259 11969at5820          -            217  6.2e-113  373.9  16.1   1   2   4.6e-57   2.3e-54  182.5   1.0     1   107     1   116     1   127 0.91 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 11969at5820          -            217  6.2e-113  373.9  16.1   2   2   2.6e-61   1.3e-58  196.3   8.9    90   217   119   257   116   257 0.92 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 11969at5820          -            217   9.6e-16   56.2   3.8   1   4   0.00011     0.055   11.2   0.0     6    37    37    68    33    72 0.90 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 11969at5820          -            217   9.6e-16   56.2   3.8   2   4   5.8e-05     0.029   12.2   0.1    35    68   672   705   662   715 0.89 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 11969at5820          -            217   9.6e-16   56.2   3.8   3   4    0.0019      0.95    7.2   0.1   142   195   747   801   740   826 0.83 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 11969at5820          -            217   9.6e-16   56.2   3.8   4   4   3.4e-08   1.7e-05   22.7   0.2   143   200  1027  1091  1016  1109 0.76 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 11969at5820          -            217   6.2e-09   34.0   9.6   1   4    0.0071       3.6    5.3   0.0     7    34    27    54    22    60 0.80 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 11969at5820          -            217   6.2e-09   34.0   9.6   2   4   3.7e-08   1.9e-05   22.6   0.3    35   110    92   181    84   187 0.73 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 11969at5820          -            217   6.2e-09   34.0   9.6   3   4     2e-05    0.0099   13.7   3.6   151   208   155   224   146   233 0.75 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 11969at5820          -            217   6.2e-09   34.0   9.6   4   4      0.11        57    1.4   0.0   152   179   252   279   239   318 0.71 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115395.1-p1      -            494 11969at5820          -            217   1.8e-08   32.4   3.2   1   5     0.032        16    3.2   0.0     6    33    18    45     8    55 0.78 | transcript=PVX_115395.1 | gene=PVX_115395 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr11:104655-106139(+) | protein_length=494 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
