#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_082490.1-p1      -           1185 1687at5820           -            883         0 1503.9  94.7   1   4     2e-44   3.6e-41  139.5   6.6     2   123    10   150     6   153 0.83 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1687at5820           -            883         0 1503.9  94.7   2   4    2e-217  3.6e-214  711.9  19.2   125   499   254   638   240   650 0.95 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1687at5820           -            883         0 1503.9  94.7   3   4   1.2e-31   2.1e-28   97.3   6.0   483   556   685   765   680   770 0.91 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082490.1-p1      -           1185 1687at5820           -            883         0 1503.9  94.7   4   4  1.1e-175    2e-172  573.8  38.9   553   883   823  1179   815  1179 0.94 | transcript=PVX_082490.1 | gene=PVX_082490 | organism=Plasmodium_vivax_Sal-1 | gene_product=helicase, putative | transcript_product=helicase, putative | location=Pv_Sal1_chr12:872755-878198(+) | protein_length=1185 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1687at5820           -            883   7.8e-42  141.7  13.8   1   3   7.1e-09   1.3e-05   21.9   0.4    72   224    84   209    81   214 0.81 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1687at5820           -            883   7.8e-42  141.7  13.8   2   3     8e-18   1.5e-14   51.5   0.2   233   317   279   366   277   370 0.90 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085255.1-p1      -           1030 1687at5820           -            883   7.8e-42  141.7  13.8   3   3   1.5e-24   2.8e-21   73.7   2.4   345   485   460   600   443   664 0.81 | transcript=PVX_085255.1 | gene=PVX_085255 | organism=Plasmodium_vivax_Sal-1 | gene_product=DEAD/DEAH box helicase, putative | transcript_product=DEAD/DEAH box helicase, putative | location=Pv_Sal1_chr13:1046220-1049312(-) | protein_length=1030 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1687at5820           -            883   9.3e-30  101.7  54.1   1   6    0.0083        15    1.8   0.8   121   155   367   403   265   414 0.77 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1687at5820           -            883   9.3e-30  101.7  54.1   2   6   4.8e-18   8.9e-15   52.2  18.0   232   482   604   856   522   952 0.82 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1687at5820           -            883   9.3e-30  101.7  54.1   3   6         3   5.5e+03   -7.2   3.9   576   639  1252  1317  1223  1330 0.58 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118535.1-p1      -           2439 1687at5820           -            883   9.3e-30  101.7  54.1   4   6   6.9e-17   1.3e-13   48.4   7.5   124   362  1406  1646  1400  1680 0.71 | transcript=PVX_118535.1 | gene=PVX_118535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr12:2806399-2814714(-) | protein_length=2439 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
