#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_093665.1-p1      -            574 5648at5820           -            472    2e-259  859.4  27.1   1   3   8.2e-11     5e-08   30.5   0.1     1    26     1    26     1    29 0.93 | transcript=PVX_093665.1 | gene=PVX_093665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:748534-750258(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093665.1-p1      -            574 5648at5820           -            472    2e-259  859.4  27.1   2   3  1.8e-146  1.1e-143  477.8   2.0    20   257    43   281    38   285 0.98 | transcript=PVX_093665.1 | gene=PVX_093665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:748534-750258(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093665.1-p1      -            574 5648at5820           -            472    2e-259  859.4  27.1   3   3  1.2e-109  7.3e-107  356.4  12.9   257   472   314   569   311   569 0.90 | transcript=PVX_093665.1 | gene=PVX_093665 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr01:748534-750258(+) | protein_length=574 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100955.1-p1      -            472 5648at5820           -            472   9.3e-06   23.0   0.4   1   1   2.3e-08   1.4e-05   22.4   0.4   146   238   200   295   125   341 0.84 | transcript=PVX_100955.1 | gene=PVX_100955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2528730-2530388(-) | protein_length=472 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 5648at5820           -            472   1.6e-05   22.3   0.0   1   2   1.3e-07   8.1e-05   19.9   0.0    19   221    50   260    39   272 0.75 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 5648at5820           -            472   1.6e-05   22.3   0.0   2   2      0.17     1e+02   -0.2   0.0   181   233   261   319   254   321 0.65 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 5648at5820           -            472   3.8e-05   21.0   0.3   1   3       3.8   2.3e+03   -4.7   2.3   410   430   137   157    84   202 0.52 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 5648at5820           -            472   3.8e-05   21.0   0.3   2   3      0.11        67    0.4   0.1   218   269   297   348   289   359 0.61 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119245.1-p1      -            595 5648at5820           -            472   3.8e-05   21.0   0.3   3   3   6.2e-08   3.8e-05   21.0   0.3   166   272   371   476   324   523 0.76 | transcript=PVX_119245.1 | gene=PVX_119245 | organism=Plasmodium_vivax_Sal-1 | gene_product=splicing regulatory protein, putative | transcript_product=splicing regulatory protein, putative | location=Pv_Sal1_chr08:1633597-1635600(+) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082410.1-p1      -            533 5648at5820           -            472   7.3e-05   20.1   0.1   1   1     2e-07   0.00012   19.3   0.1   167   264   347   450   329   478 0.72 | transcript=PVX_082410.1 | gene=PVX_082410 | organism=Plasmodium_vivax_Sal-1 | gene_product=chromatin assembly factor 1 P55 subunit, putative | transcript_product=chromatin assembly factor 1 P55 subunit, putative | location=Pv_Sal1_chr12:943725-945326(+) | protein_length=533 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5648at5820           -            472   9.1e-05   19.7  24.4   1   4      0.29   1.8e+02   -1.0   0.9   421   463    27    66    11    73 0.74 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5648at5820           -            472   9.1e-05   19.7  24.4   2   4     0.026        16    2.4   7.3   387   448   182   244   132   261 0.81 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5648at5820           -            472   9.1e-05   19.7  24.4   3   4   5.3e-06    0.0032   14.6   0.1   164   236   411   483   393   501 0.82 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080690.1-p1      -            646 5648at5820           -            472   9.1e-05   19.7  24.4   4   4   2.6e-05     0.016   12.3   0.1   135   249   507   620   498   635 0.83 | transcript=PVX_080690.1 | gene=PVX_080690 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD-repeat potein, putative | transcript_product=WD-repeat potein, putative | location=Pv_Sal1_chr10:888282-891797(-) | protein_length=646 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
