#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   1  10   1.2e-79   6.5e-76  254.2   2.4     1   170     1   173     1   177 0.97 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   2  10   6.8e-72   3.8e-68  228.4   1.8   170   291   231   352   219   364 0.96 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   3  10   2.5e-81   1.4e-77  259.7   2.3   291   451   479   647   472   670 0.93 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   4  10   1.3e-92   7.4e-89  297.1   7.6   445   615   766   944   697   955 0.87 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   5  10   5.5e-88   3.1e-84  281.8  11.2   608   736  1083  1211  1078  1224 0.97 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   6  10   1.6e-53   8.7e-50  167.6   0.6   735   855  1333  1456  1330  1462 0.95 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   7  10  4.5e-242  2.5e-238  792.5  16.8   850  1377  1513  2134  1504  2152 0.87 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   8  10   6.9e-08   0.00038   16.3   0.0  1353  1416  2236  2307  2208  2313 0.76 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8   9  10   8.5e-05      0.47    6.1   0.1  1371  1436  2336  2399  2329  2408 0.73 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097815.1-p1      -           2498 425at5820            -           1505         0 2382.0 102.8  10  10   3.2e-38   1.8e-34  116.8   3.2  1434  1505  2427  2498  2418  2498 0.95 | transcript=PVX_097815.1 | gene=PVX_097815 | organism=Plasmodium_vivax_Sal-1 | gene_product=trafficking protein particle complex subunit 8, putative | transcript_product=trafficking protein particle complex subunit 8, putative | location=Pv_Sal1_chr10:1118166-1125904(-) | protein_length=2498 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/425at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/425at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/425at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:55 2026
# [ok]
