#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_079815.1-p1      -            203 11913at5820          -            182  2.1e-115  381.2   6.9   1   1  4.2e-116    2e-113  374.7   6.9     1   182     1   201     1   201 0.94 | transcript=PVX_079815.1 | gene=PVX_079815 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:125654-126265(+) | protein_length=203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091445.1-p1      -            167 11913at5820          -            182   5.2e-45  151.8   0.5   1   1   1.2e-47   5.7e-45  151.6   0.5    34   175     3   150     1   157 0.91 | transcript=PVX_091445.1 | gene=PVX_091445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr09:527745-529327(+) | protein_length=167 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098070.1-p1      -            737 11913at5820          -            182   7.1e-39  131.8   0.5   1   1   3.8e-41   1.7e-38  130.5   0.5    27   176   578   732   558   736 0.89 | transcript=PVX_098070.1 | gene=PVX_098070 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr10:914149-916362(-) | protein_length=737 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095135.1-p1      -            170 11913at5820          -            182   1.3e-33  114.7   0.1   1   1   3.6e-36   1.7e-33  114.3   0.1    44   158    22   148     9   163 0.87 | transcript=PVX_095135.1 | gene=PVX_095135 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr08:820773-821285(+) | protein_length=170 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_220290-t26_1-p1  -            217 11913at5820          -            182   2.5e-33  113.7   0.1   1   1   7.7e-36   3.5e-33  113.2   0.1    44   158    22   148     9   164 0.87 | transcript=PVX_220290-t26_1 | gene=PVX_220290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000961:234-887(-) | protein_length=217 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_091425.1-p1      -            193 11913at5820          -            182   1.8e-29  101.2   0.5   1   1     5e-32   2.3e-29  100.8   0.5    45   170    48   183    18   192 0.84 | transcript=PVX_091425.1 | gene=PVX_091425 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase 11, putative | transcript_product=peptidyl-prolyl cis-trans isomerase 11, putative | location=Pv_Sal1_chr09:506146-507236(-) | protein_length=193 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093520.1-p1      -            262 11913at5820          -            182   1.8e-25   88.1   0.9   1   1   3.8e-28   1.8e-25   88.1   0.9    40   161   106   244    74   260 0.80 | transcript=PVX_093520.1 | gene=PVX_093520 | organism=Plasmodium_vivax_Sal-1 | gene_product=peptidyl-prolyl cis-trans isomerase, putative | transcript_product=peptidyl-prolyl cis-trans isomerase, putative | location=Pv_Sal1_chr01:592578-593366(-) | protein_length=262 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085320.1-p1      -            456 11913at5820          -            182   1.5e-23   81.9   0.7   1   2   3.2e-26   1.5e-23   81.9   0.7    31   173    12   162     3   168 0.86 | transcript=PVX_085320.1 | gene=PVX_085320 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:1100742-1103354(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085320.1-p1      -            456 11913at5820          -            182   1.5e-23   81.9   0.7   2   2       4.9   2.2e+03   -3.4   0.2     7    29   303   325   301   330 0.75 | transcript=PVX_085320.1 | gene=PVX_085320 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:1100742-1103354(-) | protein_length=456 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084165.1-p1      -            226 11913at5820          -            182   6.9e-20   69.9   0.4   1   1   2.1e-22   9.9e-20   69.4   0.4    44   175    24   169     8   174 0.84 | transcript=PVX_084165.1 | gene=PVX_084165 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr13:59247-60936(-) | protein_length=226 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123445.1-p1      -            276 11913at5820          -            182     2e-16   58.6   0.7   1   1   6.7e-19   3.1e-16   58.0   0.7    17   176    51   220    41   224 0.76 | transcript=PVX_123445.1 | gene=PVX_123445 | organism=Plasmodium_vivax_Sal-1 | gene_product=cyclophilin, putative | transcript_product=cyclophilin, putative | location=Pv_Sal1_chr14:1444175-1445005(+) | protein_length=276 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
