#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   1  11   7.8e-25   4.3e-21   72.5   2.1     2    54   100   152    99   160 0.94 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   2  11   4.4e-10   2.4e-06   23.6   2.1    43    80   178   215   174   217 0.88 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   3  11  9.1e-142    5e-138  460.0  20.2    72   306   252   486   248   494 0.97 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   4  11     5e-88   2.8e-84  281.9   5.1   306   460   541   696   537   705 0.97 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   5  11  1.9e-168    1e-164  548.5  41.0   460   763   782  1142   773  1162 0.90 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   6  11  1.9e-135  1.1e-131  439.0  25.1   763  1000  1190  1427  1186  1435 0.98 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   7  11   7.9e-67   4.4e-63  211.7   1.1   996  1136  1485  1628  1481  1635 0.95 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   8  11   3.3e-16   1.8e-12   43.9   0.0  1138  1179  1671  1716  1663  1725 0.85 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0   9  11   9.9e-56   5.5e-52  174.9   1.7  1179  1317  1756  1917  1752  1926 0.91 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0  10  11   6.1e-25   3.4e-21   72.8   0.2  1328  1376  1986  2034  1980  2038 0.96 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_003960.1-p1      -           2243 522at5820            -           1458         0 2425.3 172.0  11  11   2.9e-43   1.6e-39  133.6   4.6  1381  1458  2166  2243  2155  2243 0.97 | transcript=PVX_003960.1 | gene=PVX_003960 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:461755-468707(+) | protein_length=2243 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/522at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/522at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/522at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:40:56 2026
# [ok]
