#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   1  16  2.9e-107  5.4e-104  347.4  31.9     1   184    89   280    89   286 0.96 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   2  16     1e-05     0.019   11.6  39.9   166   243   304   412   295   416 0.71 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   3  16   4.8e-30   8.9e-27   92.0  13.9   214   308   405   500   404   521 0.80 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   4  16      0.11   2.1e+02   -1.8  30.8   288   353   517   603   504   610 0.72 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   5  16         3   5.5e+03  -13.6  17.8   163   242   602   678   596   692 0.63 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   6  16   5.1e-15   9.3e-12   42.4   2.1   324   383   720   779   708   784 0.88 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   7  16     0.002       3.6    4.0   2.0   385   413   859   887   851   899 0.84 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   8  16     5e-28   9.2e-25   85.4  16.4   398   471   924  1003   915  1020 0.74 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9   9  16   4.1e-24   7.5e-21   72.4  16.3   461   525  1028  1096  1012  1100 0.86 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  10  16   3.8e-31     7e-28   95.7  23.3   523   609  1116  1206  1107  1209 0.89 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091170.1-p1      -           1585 6929at5820           -            774  1.8e-273  907.8 429.9  11  16         3   5.5e+03   -7.1  62.8   562   650  1194  1276  1191  1288 0.59 | transcript=PVX_091170.1 | gene=PVX_091170 | organism=Plasmodium_vivax_Sal-1 | gene_product=asparagine-rich antigen, putative | transcript_product=asparagine-rich antigen, putative | location=Pv_Sal1_chr09:313394-318752(+) | protein_length=1585 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
