#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000870.1-p1      -            380 8131at5820           -            332  1.7e-189  627.2  64.5   1   1  6.5e-191    4e-188  622.6  64.5     1   332     8   380     8   380 0.95 | transcript=PVX_000870.1 | gene=PVX_000870 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr03:237649-239081(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 8131at5820           -            332   1.1e-16   59.1   1.4   1   2     0.002       1.2    6.4   0.0   197   225     6    34     2    42 0.89 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100980.1-p1      -            259 8131at5820           -            332   1.1e-16   59.1   1.4   2   2   2.8e-16   1.7e-13   48.6   0.9    67   221    42   206    38   218 0.84 | transcript=PVX_100980.1 | gene=PVX_100980 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:2561522-2563294(+) | protein_length=259 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 8131at5820           -            332     8e-08   30.0   2.7   1   2   4.9e-09     3e-06   24.8   0.1   103   223    13   144     3   149 0.74 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_110895.1-p1      -            301 8131at5820           -            332     8e-08   30.0   2.7   2   2    0.0067       4.1    4.7   0.2    46    96   151   200   145   240 0.77 | transcript=PVX_110895.1 | gene=PVX_110895 | organism=Plasmodium_vivax_Sal-1 | gene_product=ADP/ATP transporter on adenylate translocase, putative | transcript_product=ADP/ATP transporter on adenylate translocase, putative | location=Pv_Sal1_chr06:878792-879697(-) | protein_length=301 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8131at5820           -            332   1.2e-07   29.5   0.3   1   3   3.2e-05      0.02   12.3   0.0   181   224    18    61     7    67 0.91 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8131at5820           -            332   1.2e-07   29.5   0.3   2   3     0.007       4.3    4.6   0.0   150   224    86   156    65   160 0.77 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089165.1-p1      -            318 8131at5820           -            332   1.2e-07   29.5   0.3   3   3   0.00087      0.54    7.6   1.5    55   183   172   316   158   318 0.59 | transcript=PVX_089165.1 | gene=PVX_089165 | organism=Plasmodium_vivax_Sal-1 | gene_product=dicarboxylate/tricarboxylate carrier, putative | transcript_product=dicarboxylate/tricarboxylate carrier, putative | location=Pv_Sal1_chr05:356094-357050(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 8131at5820           -            332   1.7e-07   28.9   3.0   1   2   6.5e-09     4e-06   24.4   0.1   104   223    14   144     3   150 0.74 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_250300-t26_1-p1  -            348 8131at5820           -            332   1.7e-07   28.9   3.0   2   2    0.0078       4.8    4.5   0.2    46    96   151   200   143   237 0.77 | transcript=PVX_250300-t26_1 | gene=PVX_250300 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01001163:36-1082(+) | protein_length=348 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_084135.1-p1      -            323 8131at5820           -            332   3.4e-07   28.0   4.0   1   1   1.3e-09   7.9e-07   26.7   3.9    11   219    39   255    29   274 0.75 | transcript=PVX_084135.1 | gene=PVX_084135 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr13:33860-34831(-) | protein_length=323 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   1   7    0.0003      0.18    9.1   0.9   185   305    25   141    11   147 0.75 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   2   7         2   1.2e+03   -3.4   0.0   244   296   425   477   408   485 0.59 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   3   7      0.34   2.1e+02   -1.0   6.3   149   176   671   698   569   698 0.59 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   4   7   0.00078      0.48    7.7   0.1   150   182   672   704   651   711 0.85 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   5   7     0.019        12    3.1   0.1   103   177   747   823   734   830 0.73 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   6   7   1.9e-06    0.0011   16.4   0.0   193   228  1026  1061   960  1065 0.75 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098705.1-p1      -           1119 8131at5820           -            332   1.8e-06   25.5  26.5   7   7    0.0064       3.9    4.7   0.0    54    96  1067  1109  1061  1114 0.89 | transcript=PVX_098705.1 | gene=PVX_098705 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr07:148589-151948(-) | protein_length=1119 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 8131at5820           -            332   3.3e-06   24.7   3.6   1   3     0.053        32    1.7   0.0   201   224    30    53    22    59 0.81 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 8131at5820           -            332   3.3e-06   24.7   3.6   2   3   0.00018      0.11    9.8   0.3   152   225    94   177    91   184 0.76 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081360.1-p1      -            332 8131at5820           -            332   3.3e-06   24.7   3.6   3   3   9.1e-05     0.056   10.8   0.0    54   130   188   273   180   307 0.72 | transcript=PVX_081360.1 | gene=PVX_081360 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr02:272628-274888(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123215.1-p1      -            606 8131at5820           -            332       1.3    6.3  61.0   1   6     0.023        14    2.9   6.8   204   288    56   135    31   144 0.55 | transcript=PVX_123215.1 | gene=PVX_123215 | organism=Plasmodium_vivax_Sal-1 | gene_product=mitochondrial carrier protein, putative | transcript_product=mitochondrial carrier protein, putative | location=Pv_Sal1_chr14:1246671-1248491(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
