#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089690.1-p1      -            636 5642at5820           -            463  1.8e-281  932.1  32.6   1   3       1.8   1.4e+03   -4.0   3.2   129   153    39    63    28    70 0.79 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 5642at5820           -            463  1.8e-281  932.1  32.6   2   3   3.5e-05     0.028   11.6   0.1     1    21   100   120   100   124 0.89 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089690.1-p1      -            636 5642at5820           -            463  1.8e-281  932.1  32.6   3   3  6.6e-284  5.2e-281  930.5  28.9    20   463   182   635   175   635 0.97 | transcript=PVX_089690.1 | gene=PVX_089690 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr05:763526-765436(+) | protein_length=636 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 5642at5820           -            463   1.3e-15   55.5   1.6   1   2       1.3     1e+03   -3.5   0.0   229   249    49    70    39    75 0.76 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113785.1-p1      -            723 5642at5820           -            463   1.3e-15   55.5   1.6   2   2   1.6e-18   1.3e-15   55.5   1.6   272   411   161   293   102   321 0.86 | transcript=PVX_113785.1 | gene=PVX_113785 | organism=Plasmodium_vivax_Sal-1 | gene_product=nucleolar GTP-binding protein 1, putative | transcript_product=nucleolar GTP-binding protein 1, putative | location=Pv_Sal1_chr11:1509681-1511852(-) | protein_length=723 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114920.1-p1      -            367 5642at5820           -            463   9.1e-09   32.9   0.7   1   2   2.3e-11   1.8e-08   32.0   0.0   283   352    63   128    49   169 0.82 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114920.1-p1      -            367 5642at5820           -            463   9.1e-09   32.9   0.7   2   2      0.31   2.4e+02   -1.4   0.2   252   268   265   282   210   334 0.61 | transcript=PVX_114920.1 | gene=PVX_114920 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr11:521780-524906(+) | protein_length=367 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 5642at5820           -            463   4.2e-08   30.7   0.1   1   3   5.4e-11   4.2e-08   30.7   0.1   272   323   213   264   206   275 0.86 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 5642at5820           -            463   4.2e-08   30.7   0.1   2   3      0.47   3.7e+02   -2.0   4.5   335   412   341   417   329   470 0.47 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085875.1-p1      -            570 5642at5820           -            463   4.2e-08   30.7   0.1   3   3      0.53   4.2e+02   -2.2   0.1    26    68   471   521   453   546 0.60 | transcript=PVX_085875.1 | gene=PVX_085875 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:1583580-1585292(-) | protein_length=570 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 5642at5820           -            463   9.6e-07   26.3   0.5   1   2   2.1e-09   1.6e-06   25.5   0.0   283   350    64   127    55   158 0.80 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
