#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091545.1-p1      -            853 3958at5820           -            617         0 1161.9  47.8   1   4   6.7e-52   9.2e-49  164.7   6.1    15   117    66   188    57   191 0.89 | transcript=PVX_091545.1 | gene=PVX_091545 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=Pv_Sal1_chr09:598619-601180(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091545.1-p1      -            853 3958at5820           -            617         0 1161.9  47.8   2   4     1e-55   1.4e-52  177.2   0.6   116   209   213   311   202   328 0.92 | transcript=PVX_091545.1 | gene=PVX_091545 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=Pv_Sal1_chr09:598619-601180(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091545.1-p1      -            853 3958at5820           -            617         0 1161.9  47.8   3   4  3.7e-171  5.1e-168  558.6  19.1   208   489   373   655   368   661 0.98 | transcript=PVX_091545.1 | gene=PVX_091545 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=Pv_Sal1_chr09:598619-601180(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091545.1-p1      -            853 3958at5820           -            617         0 1161.9  47.8   4   4   5.1e-84   7.1e-81  270.7   0.8   480   617   673   814   662   814 0.95 | transcript=PVX_091545.1 | gene=PVX_091545 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 90, putative | transcript_product=heat shock protein 90, putative | location=Pv_Sal1_chr09:598619-601180(-) | protein_length=853 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087950.1-p1      -            748 3958at5820           -            617  2.8e-112  374.5  28.1   1   2   5.3e-54   7.4e-51  171.6   4.0    18   215     2   219     1   241 0.87 | transcript=PVX_087950.1 | gene=PVX_087950 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 86, putative | transcript_product=heat shock protein 86, putative | location=Pv_Sal1_chr01:309345-312245(+) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087950.1-p1      -            748 3958at5820           -            617  2.8e-112  374.5  28.1   2   2   3.1e-65   4.2e-62  208.7  16.2   212   605   311   714   277   719 0.83 | transcript=PVX_087950.1 | gene=PVX_087950 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 86, putative | transcript_product=heat shock protein 86, putative | location=Pv_Sal1_chr01:309345-312245(+) | protein_length=748 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118295.1-p1      -            944 3958at5820           -            617  1.6e-107  358.7  35.5   1   3   5.4e-17   7.4e-14   49.4   0.4    18    63    93   138    73   156 0.86 | transcript=PVX_118295.1 | gene=PVX_118295 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr12:2579616-2582450(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118295.1-p1      -            944 3958at5820           -            617  1.6e-107  358.7  35.5   2   3     1e-41   1.4e-38  131.0   7.2    65   208   186   343   159   351 0.88 | transcript=PVX_118295.1 | gene=PVX_118295 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr12:2579616-2582450(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118295.1-p1      -            944 3958at5820           -            617  1.6e-107  358.7  35.5   3   3   4.5e-59   6.2e-56  188.3  14.0   203   600   366   784   361   797 0.82 | transcript=PVX_118295.1 | gene=PVX_118295 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr12:2579616-2582450(-) | protein_length=944 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123745.1-p1      -            814 3958at5820           -            617  4.6e-105  350.6  30.2   1   2   2.5e-57   3.5e-54  182.6   3.4    19   217    65   286    56   310 0.88 | transcript=PVX_123745.1 | gene=PVX_123745 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=Pv_Sal1_chr14:1710504-1712948(-) | protein_length=814 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123745.1-p1      -            814 3958at5820           -            617  4.6e-105  350.6  30.2   2   2     3e-52   4.1e-49  165.8  19.1   205   597   314   744   306   753 0.79 | transcript=PVX_123745.1 | gene=PVX_123745 | organism=Plasmodium_vivax_Sal-1 | gene_product=endoplasmin, putative | transcript_product=endoplasmin, putative | location=Pv_Sal1_chr14:1710504-1712948(-) | protein_length=814 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3958at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3958at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3958at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:39:25 2026
# [ok]
