#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111265.1-p1      -            617 6506at5820           -            426    1e-220  731.6  85.5   1   4    0.0028       2.6    5.4   0.7     1    21     8    29     8    54 0.85 | transcript=PVX_111265.1 | gene=PVX_111265 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:601863-603716(+) | protein_length=617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111265.1-p1      -            617 6506at5820           -            426    1e-220  731.6  85.5   2   4     5e-31   4.6e-28   96.8  10.9    19    76    57   114    43   117 0.92 | transcript=PVX_111265.1 | gene=PVX_111265 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:601863-603716(+) | protein_length=617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111265.1-p1      -            617 6506at5820           -            426    1e-220  731.6  85.5   3   4   3.5e-97   3.2e-94  314.8  23.0    76   255   165   356   162   368 0.96 | transcript=PVX_111265.1 | gene=PVX_111265 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:601863-603716(+) | protein_length=617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111265.1-p1      -            617 6506at5820           -            426    1e-220  731.6  85.5   4   4  3.8e-102   3.5e-99  331.1  29.2   250   425   435   614   432   615 0.97 | transcript=PVX_111265.1 | gene=PVX_111265 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:601863-603716(+) | protein_length=617 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6506at5820           -            426   3.2e-09   34.8   1.3   1   3      0.25   2.3e+02   -1.0   0.0   353   391    87   126    51   131 0.67 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6506at5820           -            426   3.2e-09   34.8   1.3   2   3   4.4e-06     0.004   14.7   0.1   307   340   132   165   106   173 0.83 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089225.1-p1      -            324 6506at5820           -            426   3.2e-09   34.8   1.3   3   3   3.9e-07   0.00036   18.1   0.0   264   401   174   307   166   317 0.82 | transcript=PVX_089225.1 | gene=PVX_089225 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 snRNP-specific 40 kDa protein, putative | transcript_product=U5 snRNP-specific 40 kDa protein, putative | location=Pv_Sal1_chr05:397980-398954(-) | protein_length=324 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 6506at5820           -            426     0.001   16.7   0.2   1   3     0.015        14    3.0   0.0   312   396    38   122     4   131 0.67 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 6506at5820           -            426     0.001   16.7   0.2   2   3    0.0067       6.2    4.2   0.0   266   328   127   190   112   205 0.80 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089025.1-p1      -            322 6506at5820           -            426     0.001   16.7   0.2   3   3   0.00084      0.78    7.1   0.0   352   376   294   319   252   322 0.68 | transcript=PVX_089025.1 | gene=PVX_089025 | organism=Plasmodium_vivax_Sal-1 | gene_product=receptor for activated c kinase, putative | transcript_product=receptor for activated c kinase, putative | location=Pv_Sal1_chr05:234755-236165(+) | protein_length=322 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111050.1-p1      -            706 6506at5820           -            426    0.0031   15.1   8.3   1   2   1.6e-05     0.015   12.8   3.5   293   361   185   250   137   276 0.76 | transcript=PVX_111050.1 | gene=PVX_111050 | organism=Plasmodium_vivax_Sal-1 | gene_product=WD domain, G-beta repeat domain containing protein | transcript_product=WD domain, G-beta repeat domain containing protein | location=Pv_Sal1_chr06:758041-760161(+) | protein_length=706 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
