#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092505.1-p1      -            154 15244at5820          -            128   1.2e-45  153.1  46.1   1   1   2.9e-46   3.2e-43  145.2  46.1     1   128     1   154     1   154 0.86 | transcript=PVX_092505.1 | gene=PVX_092505 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1433589-1434227(-) | protein_length=154 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086020.1-p1      -            221 15244at5820          -            128     0.089   11.3   4.8   1   1   0.00018       0.2   10.2   4.8    70   108   122   160    98   168 0.72 | transcript=PVX_086020.1 | gene=PVX_086020 | organism=Plasmodium_vivax_Sal-1 | gene_product=40S ribosomal protein S8e, putative | transcript_product=40S ribosomal protein S8e, putative | location=Pv_Sal1_chr13:1752324-1753367(-) | protein_length=221 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084735.1-p1      -            595 15244at5820          -            128      0.38    9.2  10.8   1   2       2.1   2.3e+03   -3.0   0.8    65    65    53    53    13    96 0.56 | transcript=PVX_084735.1 | gene=PVX_084735 | organism=Plasmodium_vivax_Sal-1 | gene_product=glucose-6-phosphate isomerase, putative | transcript_product=glucose-6-phosphate isomerase, putative | location=Pv_Sal1_chr13:590828-592615(-) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084735.1-p1      -            595 15244at5820          -            128      0.38    9.2  10.8   2   2     8e-06    0.0089   14.5   3.4    41   106   151   217   139   231 0.78 | transcript=PVX_084735.1 | gene=PVX_084735 | organism=Plasmodium_vivax_Sal-1 | gene_product=glucose-6-phosphate isomerase, putative | transcript_product=glucose-6-phosphate isomerase, putative | location=Pv_Sal1_chr13:590828-592615(-) | protein_length=595 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118375.1-p1      -            405 15244at5820          -            128       3.5    6.1   9.1   1   2     0.044        49    2.4   0.0   105   123   120   138    68   142 0.82 | transcript=PVX_118375.1 | gene=PVX_118375 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine-tRNA ligase, putative | transcript_product=methionine-tRNA ligase, putative | location=Pv_Sal1_chr12:2666694-2668228(+) | protein_length=405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118375.1-p1      -            405 15244at5820          -            128       3.5    6.1   9.1   2   2     0.015        17    3.9   6.2    68    99   207   238   196   260 0.62 | transcript=PVX_118375.1 | gene=PVX_118375 | organism=Plasmodium_vivax_Sal-1 | gene_product=methionine-tRNA ligase, putative | transcript_product=methionine-tRNA ligase, putative | location=Pv_Sal1_chr12:2666694-2668228(+) | protein_length=405 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094610.1-p1      -            224 15244at5820          -            128       4.1    5.9  13.6   1   3    0.0019       2.1    6.8  10.4    58    92    15    49     5    64 0.68 | transcript=PVX_094610.1 | gene=PVX_094610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:391129-392592(+) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094610.1-p1      -            224 15244at5820          -            128       4.1    5.9  13.6   2   3      0.74   8.2e+02   -1.5   0.1    91   105    66    80    56    93 0.51 | transcript=PVX_094610.1 | gene=PVX_094610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:391129-392592(+) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094610.1-p1      -            224 15244at5820          -            128       4.1    5.9  13.6   3   3       2.2   2.4e+03   -3.1   0.0    89   101   159   171   153   187 0.62 | transcript=PVX_094610.1 | gene=PVX_094610 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:391129-392592(+) | protein_length=224 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15244at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/15244at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/15244at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:29 2026
# [ok]
