#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114255.1-p1      -           1362 1286at5820           -           1049         0 2109.9  88.5   1   6   1.4e-64   3.8e-61  205.6   0.1     1   105     1   106     1   121 0.92 | transcript=PVX_114255.1 | gene=PVX_114255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1140513-1144601(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114255.1-p1      -           1362 1286at5820           -           1049         0 2109.9  88.5   2   6   2.2e-88     6e-85  284.4   9.3    98   234   159   297   146   311 0.95 | transcript=PVX_114255.1 | gene=PVX_114255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1140513-1144601(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114255.1-p1      -           1362 1286at5820           -           1049         0 2109.9  88.5   3   6   2.7e-48   7.4e-45  151.6   3.8   232   315   334   418   316   420 0.96 | transcript=PVX_114255.1 | gene=PVX_114255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1140513-1144601(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114255.1-p1      -           1362 1286at5820           -           1049         0 2109.9  88.5   4   6  2.1e-152  5.9e-149  496.3   7.4   312   560   477   726   472   732 0.98 | transcript=PVX_114255.1 | gene=PVX_114255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1140513-1144601(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114255.1-p1      -           1362 1286at5820           -           1049         0 2109.9  88.5   5   6  1.2e-224  3.3e-221  735.5  17.7   556   908   772  1149   764  1154 0.96 | transcript=PVX_114255.1 | gene=PVX_114255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1140513-1144601(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114255.1-p1      -           1362 1286at5820           -           1049         0 2109.9  88.5   6   6     3e-82   8.3e-79  264.0  14.1   906  1049  1212  1358  1206  1358 0.96 | transcript=PVX_114255.1 | gene=PVX_114255 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1140513-1144601(-) | protein_length=1362 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1286at5820           -           1049    0.0013   15.0   7.3   1   4   4.2e-05      0.12    8.6   0.1    38    89   158   208   149   230 0.86 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1286at5820           -           1049    0.0013   15.0   7.3   2   4      0.21   5.8e+02   -3.6   0.2   621   651   746   776   741   780 0.86 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1286at5820           -           1049    0.0013   15.0   7.3   3   4   2.2e-05      0.06    9.6   0.0   691   725   913   947   897   981 0.83 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088945.1-p1      -           1311 1286at5820           -           1049    0.0013   15.0   7.3   4   4     0.062   1.7e+02   -1.9   0.1   840   860  1153  1173  1144  1180 0.84 | transcript=PVX_088945.1 | gene=PVX_088945 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine--tRNA ligase, putative | transcript_product=leucine--tRNA ligase, putative | location=Pv_Sal1_chr05:174168-178103(-) | protein_length=1311 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1286at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1286at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1286at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:28:07 2026
# [ok]
