#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113515.1-p1      -           1006 4120at5820           -            764         0 1496.2 128.2   1   5   3.5e-10   1.4e-07   28.3   4.5     1    34     1    35     1    40 0.90 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 4120at5820           -            764         0 1496.2 128.2   2   5   3.8e-08   1.5e-05   21.6   7.5    22    55    58    91    49   101 0.83 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 4120at5820           -            764         0 1496.2 128.2   3   5   1.8e-53   7.1e-51  171.5  53.4    33   171   124   267   107   273 0.87 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 4120at5820           -            764         0 1496.2 128.2   4   5   0.00023     0.089    9.1   0.9   164   187   305   330   301   335 0.79 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113515.1-p1      -           1006 4120at5820           -            764         0 1496.2 128.2   5   5         0         0 1287.3  33.7   185   764   417  1006   324  1006 0.93 | transcript=PVX_113515.1 | gene=PVX_113515 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr11:1739348-1742368(-) | protein_length=1006 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089010.1-p1      -           1164 4120at5820           -            764   3.1e-27   93.3   2.7   1   1   1.9e-29   7.5e-27   92.0   2.7   160   317   556   703   528   707 0.84 | transcript=PVX_089010.1 | gene=PVX_089010 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr05:219826-223320(-) | protein_length=1164 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 4120at5820           -            764   3.4e-16   56.8   1.2   1   2   8.6e-19   3.4e-16   56.8   1.2   185   316   763   880   758   885 0.91 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080420.1-p1      -           1366 4120at5820           -            764   3.4e-16   56.8   1.2   2   2      0.45   1.8e+02   -1.8   2.2   561   704  1203  1345  1156  1351 0.60 | transcript=PVX_080420.1 | gene=PVX_080420 | organism=Plasmodium_vivax_Sal-1 | gene_product=MB2 protein, putative | transcript_product=MB2 protein, putative | location=Pv_Sal1_chr10:662605-666705(+) | protein_length=1366 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122455.1-p1      -           1066 4120at5820           -            764   2.4e-15   53.9   5.2   1   4   1.3e-16   5.2e-14   49.5   0.3   184   319   200   317   194   355 0.86 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122455.1-p1      -           1066 4120at5820           -            764   2.4e-15   53.9   5.2   2   4      0.13        50    0.0  12.6    27   110   597   680   581   690 0.61 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122455.1-p1      -           1066 4120at5820           -            764   2.4e-15   53.9   5.2   3   4       7.8   3.1e+03   -5.9   7.2    79   120   857   901   822   924 0.67 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122455.1-p1      -           1066 4120at5820           -            764   2.4e-15   53.9   5.2   4   4   2.1e-06   0.00084   15.8   0.6   549   629   968  1045   952  1050 0.91 | transcript=PVX_122455.1 | gene=PVX_122455 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation initiation factor IF-2, putative | transcript_product=translation initiation factor IF-2, putative | location=Pv_Sal1_chr14:572869-576069(+) | protein_length=1066 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099025.1-p1      -            910 4120at5820           -            764   1.9e-09   34.5   3.0   1   1   8.3e-12   3.3e-09   33.7   3.0   193   317   194   317   188   343 0.75 | transcript=PVX_099025.1 | gene=PVX_099025 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr07:458198-460930(+) | protein_length=910 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 4120at5820           -            764   2.5e-07   27.5   1.3   1   2     0.067        26    0.9   0.0   193   210     6    23     3    53 0.76 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081285.1-p1      -            776 4120at5820           -            764   2.5e-07   27.5   1.3   2   2   4.5e-09   1.8e-06   24.6   0.4   255   317   127   189   124   200 0.93 | transcript=PVX_081285.1 | gene=PVX_081285 | organism=Plasmodium_vivax_Sal-1 | gene_product=selenocysteine-specific elongation factor selB homologue, putative | transcript_product=selenocysteine-specific elongation factor selB homologue, putative | location=Pv_Sal1_chr02:228763-231093(+) | protein_length=776 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083310.1-p1      -           1389 4120at5820           -            764   3.2e-07   27.1   7.2   1   4    0.0002     0.077    9.3   0.0   188   219    11    44     2   106 0.88 | transcript=PVX_083310.1 | gene=PVX_083310 | organism=Plasmodium_vivax_Sal-1 | gene_product=translation elongation factor, putative | transcript_product=translation elongation factor, putative | location=Pv_Sal1_chr12:225457-230077(+) | protein_length=1389 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
