#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117605.1-p1      -            104 14627at5820          -             88   2.8e-59  195.8   0.8   1   1   7.6e-62   3.2e-59  195.6   0.8     1    88    15   103    15   103 0.98 | transcript=PVX_117605.1 | gene=PVX_117605 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 1, putative | transcript_product=thioredoxin 1, putative | location=Pv_Sal1_chr12:1999403-1999851(+) | protein_length=104 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 14627at5820          -             88   4.1e-18   63.8   3.1   1   3   2.9e-12   1.3e-09   36.6   0.0     1    66    44   113    44   127 0.75 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 14627at5820          -             88   4.1e-18   63.8   3.1   2   3      0.49   2.1e+02    0.6   0.2    12    61   175   229   165   234 0.71 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088960.1-p1      -            482 14627at5820          -             88   4.1e-18   63.8   3.1   3   3   1.7e-08   7.3e-06   24.5   0.0     7    43   374   413   368   455 0.72 | transcript=PVX_088960.1 | gene=PVX_088960 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr05:185628-187194(+) | protein_length=482 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099690.1-p1      -            133 14627at5820          -             88   7.2e-14   50.2   0.0   1   1   2.4e-16     1e-13   49.7   0.0     4    80    41   118    38   125 0.92 | transcript=PVX_099690.1 | gene=PVX_099690 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein 2, putative | transcript_product=thioredoxin-like protein 2, putative | location=Pv_Sal1_chr07:968851-970052(+) | protein_length=133 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099235.1-p1      -            179 14627at5820          -             88   2.7e-11   41.9   0.3   1   1   1.2e-13   5.1e-11   41.1   0.3     3    87    85   173    83   174 0.83 | transcript=PVX_099235.1 | gene=PVX_099235 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 3, putative | transcript_product=thioredoxin 3, putative | location=Pv_Sal1_chr07:605542-606759(+) | protein_length=179 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083155.1-p1      -            157 14627at5820          -             88   9.1e-10   37.1   0.1   1   1     3e-12   1.3e-09   36.6   0.1     3    69    69   136    67   156 0.87 | transcript=PVX_083155.1 | gene=PVX_083155 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin 2, putative | transcript_product=thioredoxin 2, putative | location=Pv_Sal1_chr12:360977-362069(+) | protein_length=157 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 14627at5820          -             88   8.3e-08   30.8   1.7   1   3   0.00098      0.42    9.3   0.3     2    46    46    91    45   118 0.72 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 14627at5820          -             88   8.3e-08   30.8   1.7   2   3   8.6e-07   0.00036   19.1   0.0     4    68   184   251   181   268 0.75 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092315.1-p1      -            424 14627at5820          -             88   8.3e-08   30.8   1.7   3   3       5.9   2.5e+03   -2.8   0.0    28    47   382   402   376   409 0.58 | transcript=PVX_092315.1 | gene=PVX_092315 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein disulfide isomerase, putative | transcript_product=protein disulfide isomerase, putative | location=Pv_Sal1_chr09:1257082-1258356(-) | protein_length=424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117357.1-p1      -            121 14627at5820          -             88   3.8e-05   22.2   1.0   1   1   1.2e-07     5e-05   21.9   0.7     5    86    28   113    23   115 0.66 | transcript=PVX_117357.1 | gene=PVX_117357 | organism=Plasmodium_vivax_Sal-1 | gene_product=thioredoxin-like protein | transcript_product=thioredoxin-like protein | location=Pv_Sal1_chr12:1822980-1823345(+) | protein_length=121 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
