#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   1   9  9.2e-104  7.3e-101  336.9  23.1     1   197     1   207     1   211 0.95 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   2   9   3.9e-57   3.1e-54  182.5   4.5   196   296   299   400   288   404 0.95 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   3   9      0.28   2.2e+02   -2.5   0.0   295   310   509   524   506   527 0.87 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   4   9   1.7e-39   1.4e-36  124.1   0.3   307   380   608   682   606   685 0.93 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   5   9   8.5e-43   6.7e-40  135.0  19.9   373   487   699   848   695   852 0.79 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   6   9  1.1e-247  8.4e-245  813.4  21.1   487   892   901  1323   884  1335 0.95 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   7   9   2.3e-65   1.8e-62  209.8   9.7   883  1008  1350  1477  1337  1485 0.94 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   8   9    0.0041       3.3    3.6   0.2  1003  1028  1511  1536  1497  1543 0.78 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094730.1-p1      -           1756 1570at5820           -           1063         0 1814.3 132.1   9   9   1.9e-16   1.5e-13   47.8   1.1  1024  1063  1714  1753  1708  1753 0.95 | transcript=PVX_094730.1 | gene=PVX_094730 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr08:485565-490835(-) | protein_length=1756 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   1   8         7   5.5e+03   -9.3  10.7   234   334   102   207    51   220 0.73 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_121965.1-p1      -           2656 1570at5820           -           1063   4.5e-45  152.1  87.3   2   8      0.32   2.5e+02   -2.6   1.7   279   328   306   355   258   374 0.77 | transcript=PVX_121965.1 | gene=PVX_121965 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:143835-152406(-) | protein_length=2656 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
