#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089730.1-p1      -            236 12453at5820          -            188  8.7e-111  366.2  13.1   1   1    7e-112    3e-109  361.2  13.1     1   188     1   218     1   218 0.94 | transcript=PVX_089730.1 | gene=PVX_089730 | organism=Plasmodium_vivax_Sal-1 | gene_product=nuclear cap-binding protein, putative | transcript_product=nuclear cap-binding protein, putative | location=Pv_Sal1_chr05:792111-792955(+) | protein_length=236 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 12453at5820          -            188   1.4e-08   33.0   6.1   1   2   7.7e-11   3.3e-08   31.8   3.5    35   159    22   150    10   163 0.71 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094535.1-p1      -            250 12453at5820          -            188   1.4e-08   33.0   6.1   2   2      0.13        55    1.7   0.0    78   108   215   245   158   248 0.68 | transcript=PVX_094535.1 | gene=PVX_094535 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:314388-316060(+) | protein_length=250 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 12453at5820          -            188   1.9e-08   32.6   2.5   1   4     1e-05    0.0045   15.1   0.0    35   124    17   106     9   122 0.84 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 12453at5820          -            188   1.9e-08   32.6   2.5   2   4      0.59   2.5e+02   -0.5   0.0    36   101   106   170    89   181 0.75 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 12453at5820          -            188   1.9e-08   32.6   2.5   3   4    0.0024         1    7.4   0.1    35    98   194   254   172   267 0.80 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123845.1-p1      -            883 12453at5820          -            188   1.9e-08   32.6   2.5   4   4    0.0031       1.3    7.0   0.0    33   105   448   519   425   527 0.82 | transcript=PVX_123845.1 | gene=PVX_123845 | organism=Plasmodium_vivax_Sal-1 | gene_product=polyadenylate-binding protein, putative | transcript_product=polyadenylate-binding protein, putative | location=Pv_Sal1_chr14:1840034-1842685(+) | protein_length=883 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_122855.1-p1      -            124 12453at5820          -            188   3.8e-07   28.3   0.3   1   1   1.4e-09   5.9e-07   27.7   0.2    34   108     8    82     3    88 0.94 | transcript=PVX_122855.1 | gene=PVX_122855 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr14:927195-928065(-) | protein_length=124 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 12453at5820          -            188   5.4e-06   24.5   0.1   1   3   1.3e-08   5.4e-06   24.5   0.1    20   113    22   115     5   129 0.84 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 12453at5820          -            188   5.4e-06   24.5   0.1   2   3      0.57   2.4e+02   -0.4   0.5   132   161   160   188   152   209 0.58 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095260.1-p1      -            299 12453at5820          -            188   5.4e-06   24.5   0.1   3   3       1.1   4.7e+02   -1.3   6.6   116   158   213   255   200   267 0.75 | transcript=PVX_095260.1 | gene=PVX_095260 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr08:941021-942355(-) | protein_length=299 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 12453at5820          -            188   2.5e-05   22.4   0.0   1   2   5.8e-08   2.5e-05   22.4   0.0    36   107     8    79     2    87 0.94 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091955.1-p1      -           1058 12453at5820          -            188   2.5e-05   22.4   0.0   2   2       0.9   3.8e+02   -1.0   0.3   139   168   466   493   464   501 0.72 | transcript=PVX_091955.1 | gene=PVX_091955 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr09:983120-986296(+) | protein_length=1058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 12453at5820          -            188   2.9e-05   22.2   0.2   1   2   3.4e-07   0.00014   19.9   0.0    35   107     8    80     2    87 0.94 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087055.1-p1      -            721 12453at5820          -            188   2.9e-05   22.2   0.2   2   2      0.77   3.3e+02   -0.8   0.0    51   138   209   300   175   317 0.66 | transcript=PVX_087055.1 | gene=PVX_087055 | organism=Plasmodium_vivax_Sal-1 | gene_product=mRNA processing protein, putative | transcript_product=mRNA processing protein, putative | location=Pv_Sal1_chr07:1270715-1272880(+) | protein_length=721 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 12453at5820          -            188   3.5e-05   21.9   1.3   1   2   1.4e-05    0.0059   14.6   0.1    33   108    19    94    11   107 0.92 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085480.1-p1      -            479 12453at5820          -            188   3.5e-05   21.9   1.3   2   2    0.0021      0.89    7.5   0.1    20   103    93   175    83   183 0.80 | transcript=PVX_085480.1 | gene=PVX_085480 | organism=Plasmodium_vivax_Sal-1 | gene_product=spliceosome-associated protein 49, putative | transcript_product=spliceosome-associated protein 49, putative | location=Pv_Sal1_chr13:1204376-1206069(+) | protein_length=479 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 12453at5820          -            188   4.4e-05   21.6   0.9   1   2    0.0015      0.63    8.0   0.0    28    85   112   169   101   193 0.83 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089680.1-p1      -            361 12453at5820          -            188   4.4e-05   21.6   0.9   2   2   0.00014     0.058   11.4   0.2    33   102   201   269   189   295 0.88 | transcript=PVX_089680.1 | gene=PVX_089680 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA-binding protein, putative | transcript_product=RNA-binding protein, putative | location=Pv_Sal1_chr05:757428-759845(-) | protein_length=361 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
