#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_091420.1-p1      -            240 11393at5820          -            175  3.9e-105  347.8   7.6   1   1  1.3e-107    5e-105  347.5   7.6    13   174    78   239    71   240 0.98 | transcript=PVX_091420.1 | gene=PVX_091420 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr09:504403-505606(+) | protein_length=240 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 11393at5820          -            175   5.7e-10   37.9   2.5   1   3   3.4e-05     0.013   13.9   0.2   114   169   407   462   372   472 0.74 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 11393at5820          -            175   5.7e-10   37.9   2.5   2   3   1.7e-05    0.0067   14.9   0.0    63   104   620   661   607   678 0.88 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094580.1-p1      -           1381 11393at5820          -            175   5.7e-10   37.9   2.5   3   3     0.014       5.5    5.4   0.0   119   171   777   832   761   836 0.80 | transcript=PVX_094580.1 | gene=PVX_094580 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr08:341579-345724(-) | protein_length=1381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 11393at5820          -            175   7.2e-08   31.1   9.1   1   3       7.9   3.1e+03   -3.5   0.0   109   136   504   531   496   535 0.85 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 11393at5820          -            175   7.2e-08   31.1   9.1   2   3   6.4e-07   0.00025   19.5   0.7    62   115   999  1054   972  1070 0.79 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080410.1-p1      -           2396 11393at5820          -            175   7.2e-08   31.1   9.1   3   3   8.1e-06    0.0032   16.0   0.7    63   120  1897  1955  1886  1969 0.82 | transcript=PVX_080410.1 | gene=PVX_080410 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr10:646072-653262(+) | protein_length=2396 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 11393at5820          -            175   1.1e-06   27.2   0.6   1   2   1.9e-06   0.00076   18.0   0.0   124   169  2119  2164  2108  2170 0.90 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100910.1-p1      -           2455 11393at5820          -            175   1.1e-06   27.2   0.6   2   2    0.0053       2.1    6.8   0.1   125   170  2219  2266  2172  2277 0.72 | transcript=PVX_100910.1 | gene=PVX_100910 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:2480729-2488096(+) | protein_length=2455 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123750.1-p1      -           2879 11393at5820          -            175   2.7e-05   22.7   0.4   1   1   1.7e-07   6.6e-05   21.4   0.4   111   172  1893  1954  1881  1957 0.90 | transcript=PVX_123750.1 | gene=PVX_123750 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr14:1719732-1728371(+) | protein_length=2879 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 11393at5820          -            175   0.00049   18.6   4.2   1   2   2.4e-05    0.0094   14.4   0.6    67   107   906   947   883   954 0.83 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001040.1-p1      -           3545 11393at5820          -            175   0.00049   18.6   4.2   2   2     0.028        11    4.5   0.2   124   172  1907  1951  1894  1957 0.83 | transcript=PVX_001040.1 | gene=PVX_001040 | organism=Plasmodium_vivax_Sal-1 | gene_product=transcription factor with AP2 domain(s), putative | transcript_product=transcription factor with AP2 domain(s), putative | location=Pv_Sal1_chr03:72733-83512(-) | protein_length=3545 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
