#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094595.1-p1      -           2206 996at5820            -           1613         0 2328.7 117.1   1   3   4.7e-37   5.2e-34  115.4  22.5     1   232     1   371     1   388 0.81 | transcript=PVX_094595.1 | gene=PVX_094595 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=Pv_Sal1_chr08:365792-372412(+) | protein_length=2206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094595.1-p1      -           2206 996at5820            -           1613         0 2328.7 117.1   2   3         0         0 2058.5  78.3   249  1509   458  2072   436  2086 0.84 | transcript=PVX_094595.1 | gene=PVX_094595 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=Pv_Sal1_chr08:365792-372412(+) | protein_length=2206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094595.1-p1      -           2206 996at5820            -           1613         0 2328.7 117.1   3   3   2.8e-50   3.1e-47  159.3   1.2  1516  1611  2110  2205  2092  2206 0.92 | transcript=PVX_094595.1 | gene=PVX_094595 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 2, putative | transcript_product=histone deacetylase 2, putative | location=Pv_Sal1_chr08:365792-372412(+) | protein_length=2206 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099700.1-p1      -            448 996at5820            -           1613   5.7e-15   52.3   3.4   1   2   3.8e-11   4.2e-08   29.6   1.4   566   630   138   200   123   202 0.90 | transcript=PVX_099700.1 | gene=PVX_099700 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=Pv_Sal1_chr07:972758-974104(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099700.1-p1      -            448 996at5820            -           1613   5.7e-15   52.3   3.4   2   2   3.6e-09   3.9e-06   23.0   0.0   746   819   202   275   200   280 0.96 | transcript=PVX_099700.1 | gene=PVX_099700 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase 1, putative | transcript_product=histone deacetylase 1, putative | location=Pv_Sal1_chr07:972758-974104(-) | protein_length=448 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097890.1-p1      -            443 996at5820            -           1613   2.1e-12   43.9   4.9   1   2   2.9e-15   3.2e-12   43.2   3.8   565   630   255   320   246   337 0.93 | transcript=PVX_097890.1 | gene=PVX_097890 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr10:1066414-1067879(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097890.1-p1      -            443 996at5820            -           1613   2.1e-12   43.9   4.9   2   2     0.089        98   -1.5   0.0   796   851   360   414   341   415 0.83 | transcript=PVX_097890.1 | gene=PVX_097890 | organism=Plasmodium_vivax_Sal-1 | gene_product=histone deacetylase, putative | transcript_product=histone deacetylase, putative | location=Pv_Sal1_chr10:1066414-1067879(+) | protein_length=443 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085567.1-p1      -            228 996at5820            -           1613    0.0024   13.8  15.6   1   1   2.3e-06    0.0025   13.7  15.6    17   149    25   162    14   221 0.63 | transcript=PVX_085567.1 | gene=PVX_085567 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr13:1286917-1288472(-) | protein_length=228 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_097990.1-p1      -            270 996at5820            -           1613    0.0031   13.4  16.3   1   1   3.7e-06    0.0041   13.0  16.3    27   192    23   259    17   265 0.53 | transcript=PVX_097990.1 | gene=PVX_097990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:995186-995998(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/996at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/996at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/996at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:53:29 2026
# [ok]
