#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_118165.1-p1      -           2967 535at5820            -           2186         0 3051.6 296.5   1   6  4.3e-173    6e-170  565.8  50.8     1   335     1   400     1   411 0.89 | transcript=PVX_118165.1 | gene=PVX_118165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2455890-2464793(-) | protein_length=2967 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118165.1-p1      -           2967 535at5820            -           2186         0 3051.6 296.5   2   6   9.9e-38   1.4e-34  116.9  28.8   330   476   420   594   417   614 0.79 | transcript=PVX_118165.1 | gene=PVX_118165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2455890-2464793(-) | protein_length=2967 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118165.1-p1      -           2967 535at5820            -           2186         0 3051.6 296.5   3   6  1.4e-180  1.9e-177  590.7  66.7   438  1216   609  1732   591  1742 0.83 | transcript=PVX_118165.1 | gene=PVX_118165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2455890-2464793(-) | protein_length=2967 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118165.1-p1      -           2967 535at5820            -           2186         0 3051.6 296.5   4   6   6.9e-28   9.5e-25   84.2   0.2  1208  1279  1762  1833  1748  1854 0.87 | transcript=PVX_118165.1 | gene=PVX_118165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2455890-2464793(-) | protein_length=2967 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118165.1-p1      -           2967 535at5820            -           2186         0 3051.6 296.5   5   6  5.9e-226  8.2e-223  741.1  28.2  1292  1729  1923  2415  1896  2423 0.85 | transcript=PVX_118165.1 | gene=PVX_118165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2455890-2464793(-) | protein_length=2967 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118165.1-p1      -           2967 535at5820            -           2186         0 3051.6 296.5   6   6  2.5e-296  3.5e-293  974.5  88.4  1725  2186  2450  2967  2447  2967 0.99 | transcript=PVX_118165.1 | gene=PVX_118165 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2455890-2464793(-) | protein_length=2967 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113225.1-p1      -            332 535at5820            -           2186     0.008   11.5  12.7   1   1   6.8e-06    0.0094   11.3  12.7  1081  1258    71   257    12   273 0.62 | transcript=PVX_113225.1 | gene=PVX_113225 | organism=Plasmodium_vivax_Sal-1 | gene_product=Plasmodium exported protein, unknown function | transcript_product=Plasmodium exported protein, unknown function | location=Pv_Sal1_chr11:2011317-2012528(+) | protein_length=332 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_116520.1-p1      -            264 535at5820            -           2186     0.065    8.5  21.9   1   1   5.7e-05     0.078    8.2  21.9  1509  1678    20   195     7   230 0.61 | transcript=PVX_116520.1 | gene=PVX_116520 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribonuclease P protein subunit RPR2, putative | transcript_product=ribonuclease P protein subunit RPR2, putative | location=Pv_Sal1_chr12:1045409-1046203(-) | protein_length=264 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123110.1-p1      -            318 535at5820            -           2186      0.38    6.0  30.8   1   1   0.00034      0.47    5.7  30.8  1516  1642   136   269    94   308 0.56 | transcript=PVX_123110.1 | gene=PVX_123110 | organism=Plasmodium_vivax_Sal-1 | gene_product=Mitotic apparatus protein p62, putative | transcript_product=Mitotic apparatus protein p62, putative | location=Pv_Sal1_chr14:1139028-1140479(-) | protein_length=318 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/535at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/535at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/535at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:41:29 2026
# [ok]
