#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_114560.1-p1      -            380 7192at5820           -            334  4.8e-206  681.4  19.6   1   1  2.5e-208  5.9e-206  681.1  19.6    10   334    45   376    37   376 0.98 | transcript=PVX_114560.1 | gene=PVX_114560 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNAJ domain protein, putative | transcript_product=DNAJ domain protein, putative | location=Pv_Sal1_chr11:840420-841562(+) | protein_length=380 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084650.1-p1      -            421 7192at5820           -            334   4.4e-51  172.0   9.6   1   1   2.6e-53   6.3e-51  171.5   9.6    10   332    26   354    18   356 0.86 | transcript=PVX_084650.1 | gene=PVX_084650 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:511502-513332(-) | protein_length=421 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 7192at5820           -            334   1.6e-35  120.8   5.5   1   2   2.7e-22   6.5e-20   69.5   0.8    12    80     5    78     3   109 0.81 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002875.1-p1      -            328 7192at5820           -            334   1.6e-35  120.8   5.5   2   2   1.7e-17     4e-15   53.8   0.3   207   334   188   320   148   320 0.88 | transcript=PVX_002875.1 | gene=PVX_002875 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein SIS1, putative | transcript_product=protein SIS1, putative | location=Pv_Sal1_chr04:340883-342215(-) | protein_length=328 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 7192at5820           -            334   2.8e-32  110.2   4.4   1   2   1.2e-18   2.8e-16   57.6   2.7    12    98    86   182    77   201 0.77 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_081840.1-p1      -            420 7192at5820           -            334   2.8e-32  110.2   4.4   2   2   4.6e-17   1.1e-14   52.3   0.0   208   333   281   411   258   412 0.86 | transcript=PVX_081840.1 | gene=PVX_081840 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein, putative | transcript_product=heat shock protein, putative | location=Pv_Sal1_chr02:737767-739792(-) | protein_length=420 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 7192at5820           -            334   1.8e-26   91.1   5.3   1   3     5e-11   1.2e-08   32.5   1.1    36   102     2    75     1    84 0.72 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 7192at5820           -            334   1.8e-26   91.1   5.3   2   3      0.27        65    0.5   0.0   106   131   113   138   106   156 0.82 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118690.1-p1      -            300 7192at5820           -            334   1.8e-26   91.1   5.3   3   3     6e-19   1.5e-16   58.5   0.0   208   334   161   292   149   292 0.90 | transcript=PVX_118690.1 | gene=PVX_118690 | organism=Plasmodium_vivax_Sal-1 | gene_product=40 kDa heat shock protein, putative | transcript_product=40 kDa heat shock protein, putative | location=Pv_Sal1_chr12:2986888-2987943(+) | protein_length=300 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 7192at5820           -            334   6.9e-26   89.2   0.4   1   2     3e-16   7.3e-14   49.6   0.0    13    85    86   159    72   186 0.86 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000775.1-p1      -            648 7192at5820           -            334   6.9e-26   89.2   0.4   2   2   1.3e-12   3.1e-10   37.7   0.1   180   332   272   427   245   429 0.87 | transcript=PVX_000775.1 | gene=PVX_000775 | organism=Plasmodium_vivax_Sal-1 | gene_product=chaperone DNAJ protein, putative | transcript_product=chaperone DNAJ protein, putative | location=Pv_Sal1_chr03:316760-318706(+) | protein_length=648 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085755.1-p1      -            381 7192at5820           -            334   3.4e-19   67.2   0.9   1   1   2.3e-21   5.5e-19   66.5   0.9    11    79    55   124    49   161 0.92 | transcript=PVX_085755.1 | gene=PVX_085755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:1497068-1498582(-) | protein_length=381 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091110.1-p1      -            549 7192at5820           -            334   7.4e-18   62.8   1.9   1   1   9.6e-20   2.3e-17   61.2   1.9    12    78    35   100    31   105 0.91 | transcript=PVX_091110.1 | gene=PVX_091110 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein DnaJ homologue Pfj2, putative | transcript_product=heat shock protein DnaJ homologue Pfj2, putative | location=Pv_Sal1_chr09:269997-271646(-) | protein_length=549 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 7192at5820           -            334     1e-16   59.1   2.1   1   2      0.53   1.3e+02   -0.5   0.1    60    89   122   152   110   174 0.75 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080080.1-p1      -            529 7192at5820           -            334     1e-16   59.1   2.1   2   2   4.2e-19     1e-16   59.1   2.1     8    81   191   262   184   268 0.88 | transcript=PVX_080080.1 | gene=PVX_080080 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:348408-350329(-) | protein_length=529 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_082455.1-p1      -            254 7192at5820           -            334   2.5e-16   57.8   2.0   1   1   1.5e-18   3.7e-16   57.2   2.0    11    73    43   108    34   173 0.83 | transcript=PVX_082455.1 | gene=PVX_082455 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr12:901027-902604(+) | protein_length=254 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084600.1-p1      -            245 7192at5820           -            334   9.1e-16   55.9   1.5   1   1   5.6e-18   1.3e-15   55.3   1.5    11   103     6   107     1   116 0.75 | transcript=PVX_084600.1 | gene=PVX_084600 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr13:466345-468037(+) | protein_length=245 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088225.1-p1      -            843 7192at5820           -            334   4.1e-15   53.8   0.6   1   1   3.2e-17   7.6e-15   52.9   0.6    12    81   300   371   295   377 0.90 | transcript=PVX_088225.1 | gene=PVX_088225 | organism=Plasmodium_vivax_Sal-1 | gene_product=DnaJ domain containing protein | transcript_product=DnaJ domain containing protein | location=Pv_Sal1_chr01:516724-519255(+) | protein_length=843 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
