#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_094560.1-p1      -            615 5653at5820           -            431  4.1e-227  752.7  55.1   1   4   7.6e-26   3.8e-23   80.6   2.2     1    66     5    77     5    80 0.92 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 5653at5820           -            431  4.1e-227  752.7  55.1   2   4   1.4e-47   7.2e-45  152.2   7.8    62   157   181   276   164   288 0.93 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 5653at5820           -            431  4.1e-227  752.7  55.1   3   4  2.9e-135  1.5e-132  441.2   9.6   152   378   295   523   282   532 0.97 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094560.1-p1      -            615 5653at5820           -            431  4.1e-227  752.7  55.1   4   4   8.4e-31   4.2e-28   97.0  12.0   369   431   552   615   541   615 0.90 | transcript=PVX_094560.1 | gene=PVX_094560 | organism=Plasmodium_vivax_Sal-1 | gene_product=RING zinc finger protein, putative | transcript_product=RING zinc finger protein, putative | location=Pv_Sal1_chr08:333387-335436(+) | protein_length=615 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079770.1-p1      -            284 5653at5820           -            431   6.5e-10   37.0   1.5   1   1   2.4e-12   1.2e-09   36.1   1.5   373   429   223   280   208   282 0.90 | transcript=PVX_079770.1 | gene=PVX_079770 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:82907-84242(+) | protein_length=284 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111310.1-p1      -            272 5653at5820           -            431   2.6e-08   31.8   1.7   1   1   7.2e-11   3.6e-08   31.3   1.7   365   427   198   261   146   264 0.78 | transcript=PVX_111310.1 | gene=PVX_111310 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:564668-565486(-) | protein_length=272 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119830.1-p1      -           1203 5653at5820           -            431   8.9e-06   23.4   5.0   1   1     3e-08   1.5e-05   22.7   5.0   374   429  1144  1200  1119  1202 0.81 | transcript=PVX_119830.1 | gene=PVX_119830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr08:1169876-1173487(+) | protein_length=1203 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119710.1-p1      -            733 5653at5820           -            431     5e-05   21.0   1.9   1   1   1.5e-07   7.6e-05   20.3   1.9   385   428   683   728   658   730 0.73 | transcript=PVX_119710.1 | gene=PVX_119710 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:1245805-1248006(-) | protein_length=733 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094410.1-p1      -           1159 5653at5820           -            431   0.00019   19.0   0.3   1   1   5.5e-07   0.00028   18.5   0.3   375   429   358   417   316   419 0.77 | transcript=PVX_094410.1 | gene=PVX_094410 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase, putative | transcript_product=E3 ubiquitin-protein ligase, putative | location=Pv_Sal1_chr08:228823-232302(-) | protein_length=1159 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_086150.1-p1      -            739 5653at5820           -            431   0.00085   16.9   8.4   1   1   3.2e-06    0.0016   16.0   8.4   384   427   688   734   652   737 0.71 | transcript=PVX_086150.1 | gene=PVX_086150 | organism=Plasmodium_vivax_Sal-1 | gene_product=circumsporozoite protein, putative | transcript_product=circumsporozoite protein, putative | location=Pv_Sal1_chr13:1877708-1879927(+) | protein_length=739 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114337.1-p1      -             89 5653at5820           -            431    0.0042   14.6   9.3   1   1   9.1e-06    0.0046   14.5   9.3   379   428    30    80     7    82 0.77 | transcript=PVX_114337.1 | gene=PVX_114337 | organism=Plasmodium_vivax_Sal-1 | gene_product=anaphase promoting complex subunit, putative | transcript_product=anaphase promoting complex subunit, putative | location=Pv_Sal1_chr11:1055694-1055963(-) | protein_length=89 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114470.1-p1      -            519 5653at5820           -            431    0.0081   13.7   5.9   1   1   2.3e-05     0.011   13.2   5.9   369   429   348   405   324   407 0.69 | transcript=PVX_114470.1 | gene=PVX_114470 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RNF5, putative | transcript_product=E3 ubiquitin-protein ligase RNF5, putative | location=Pv_Sal1_chr11:942306-943865(+) | protein_length=519 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 5653at5820           -            431     0.024   12.1   0.1   1   1   7.6e-05     0.038   11.4   0.1   227   303   115   190   110   196 0.84 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_095280.1-p1      -            152 5653at5820           -            431       2.5    5.5   6.7   1   2      0.19        97    0.2   0.2   360   400    51    90    41    96 0.70 | transcript=PVX_095280.1 | gene=PVX_095280 | organism=Plasmodium_vivax_Sal-1 | gene_product=E3 ubiquitin-protein ligase RBX1, putative | transcript_product=E3 ubiquitin-protein ligase RBX1, putative | location=Pv_Sal1_chr08:955234-955692(+) | protein_length=152 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
