#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_098022.1-p1      -            359 9024at5820           -            280    1e-140  466.4  26.4   1   2   1.1e-81   5.1e-79  264.0  14.7     1   151    12   163    12   171 0.97 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098022.1-p1      -            359 9024at5820           -            280    1e-140  466.4  26.4   2   2   9.1e-65   4.2e-62  208.5   3.9   160   279   236   355   214   356 0.93 | transcript=PVX_098022.1 | gene=PVX_098022 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:964062-965787(-) | protein_length=359 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 9024at5820           -            280   4.4e-32  110.0  27.5   1   2   3.9e-27   1.8e-24   85.0  23.5    10   147    12   153     2   159 0.88 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083285.1-p1      -            310 9024at5820           -            280   4.4e-32  110.0  27.5   2   2   1.7e-09   7.7e-07   27.2   0.1   189   261   160   233   154   241 0.79 | transcript=PVX_083285.1 | gene=PVX_083285 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr12:247853-249650(-) | protein_length=310 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 9024at5820           -            280   4.3e-29  100.2  56.2   1   3     3e-14   1.4e-11   42.8  12.1    19   109    11   102     5   102 0.92 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 9024at5820           -            280   4.3e-29  100.2  56.2   2   3   1.6e-17   7.5e-15   53.5  12.3    44   137    80   174    78   180 0.94 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111085.1-p1      -            317 9024at5820           -            280   4.3e-29  100.2  56.2   3   3   1.3e-10   5.9e-08   30.8  15.8    43   200   145   301   144   305 0.80 | transcript=PVX_111085.1 | gene=PVX_111085 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatases PP1 regulatory subunit sds22, putative | transcript_product=protein phosphatases PP1 regulatory subunit sds22, putative | location=Pv_Sal1_chr06:726777-728234(-) | protein_length=317 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   1   7     9e-10   4.1e-07   28.1   8.0    56   147    35   129    11   133 0.83 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   2   7     8e-10   3.7e-07   28.2   0.8    68   143   117   194   107   202 0.86 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   3   7     0.038        18    3.1   0.3   195   240   192   236   186   275 0.73 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   4   7   0.00015     0.069   10.9   0.8    64   131   807   879   779   904 0.61 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   5   7     5e-05     0.023   12.5  18.9    27   203   990  1175   978  1186 0.74 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   6   7    0.0026       1.2    6.9   0.4    43    78  1188  1223  1182  1233 0.85 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084925.1-p1      -           1499 9024at5820           -            280   5.7e-25   86.7  73.1   7   7   3.6e-10   1.7e-07   29.4   7.2    40   152  1238  1353  1229  1375 0.82 | transcript=PVX_084925.1 | gene=PVX_084925 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:773964-781222(+) | protein_length=1499 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 9024at5820           -            280   6.8e-19   66.7  37.8   1   3   1.9e-13   8.8e-11   40.1  13.5    42   123    72   154    66   159 0.93 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 9024at5820           -            280   6.8e-19   66.7  37.8   2   3     1e-13   4.6e-11   41.1  16.4    38   126   112   204   111   230 0.82 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099970.1-p1      -            635 9024at5820           -            280   6.8e-19   66.7  37.8   3   3       7.2   3.3e+03   -4.4   2.3   227   268   485   528   465   548 0.47 | transcript=PVX_099970.1 | gene=PVX_099970 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr07:1144830-1147506(-) | protein_length=635 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092920.1-p1      -            340 9024at5820           -            280   3.8e-12   44.6  35.3   1   2   1.2e-10   5.3e-08   31.0  15.8    43   148   104   207    75   214 0.83 | transcript=PVX_092920.1 | gene=PVX_092920 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr09:1819386-1820408(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092920.1-p1      -            340 9024at5820           -            280   3.8e-12   44.6  35.3   2   2   4.1e-07   0.00019   19.4  11.9    46   141   215   315   209   330 0.77 | transcript=PVX_092920.1 | gene=PVX_092920 | organism=Plasmodium_vivax_Sal-1 | gene_product=leucine-rich repeat protein | transcript_product=leucine-rich repeat protein | location=Pv_Sal1_chr09:1819386-1820408(+) | protein_length=340 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
