#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   1  12     2e-26   2.7e-23   79.2   0.7     1    70     1    84     1    89 0.88 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   2  12   1.7e-16   2.3e-13   46.3   3.6    66   115   109   158   103   174 0.91 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   3  12   8.2e-53   1.1e-49  166.7  24.1   110   264   199   371   165   387 0.81 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   4  12     1e-14   1.4e-11   40.4   7.6   272   367   433   552   419   561 0.75 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   5  12   1.9e-18   2.6e-15   52.7  10.2   332   419   582   668   578   732 0.73 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   6  12         4   5.5e+03  -23.6  38.2  1614  1671   736   796   722   814 0.51 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   7  12     1e-11   1.4e-08   30.4   6.0   387   456   829   902   819   935 0.75 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   8  12    1e-151  1.4e-148  494.7  48.7   471   764  1150  1466  1121  1470 0.91 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5   9  12   1.9e-50   2.7e-47  158.8   1.7   763   867  1527  1645  1524  1652 0.85 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5  10  12  2.2e-185    3e-182  606.4  19.8   864  1224  1675  2072  1671  2113 0.93 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085580.1-p1      -           3335 230at5820            -           2204         0 3311.3 321.5  11  12  1.1e-222  1.6e-219  730.1  52.5  1222  1668  2126  2628  2112  2637 0.88 | transcript=PVX_085580.1 | gene=PVX_085580 | organism=Plasmodium_vivax_Sal-1 | gene_product=rap guanine nucleotide exchange factor, putative | transcript_product=rap guanine nucleotide exchange factor, putative | location=Pv_Sal1_chr13:1311631-1322657(-) | protein_length=3335 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
