#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089510.1-p1      -            521 6024at5820           -            405    2e-205  681.1  36.0   1   4  1.5e-142  2.1e-139  463.7  14.2     1   234     1   235     1   244 0.95 | transcript=PVX_089510.1 | gene=PVX_089510 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr05:621120-622932(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089510.1-p1      -            521 6024at5820           -            405    2e-205  681.1  36.0   2   4   4.5e-27   6.2e-24   83.4   6.5   205   288   239   340   224   349 0.77 | transcript=PVX_089510.1 | gene=PVX_089510 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr05:621120-622932(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089510.1-p1      -            521 6024at5820           -            405    2e-205  681.1  36.0   3   4   6.5e-14   8.9e-11   40.1   0.1   292   337   374   419   355   427 0.85 | transcript=PVX_089510.1 | gene=PVX_089510 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr05:621120-622932(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089510.1-p1      -            521 6024at5820           -            405    2e-205  681.1  36.0   4   4   1.7e-33   2.3e-30  104.6   0.2   332   405   448   521   441   521 0.94 | transcript=PVX_089510.1 | gene=PVX_089510 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr05:621120-622932(-) | protein_length=521 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117045.1-p1      -            743 6024at5820           -            405   1.9e-59  200.4  12.7   1   2   9.3e-31   1.3e-27   95.5   1.1     1    67     1    67     1    76 0.93 | transcript=PVX_117045.1 | gene=PVX_117045 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr12:1489889-1492120(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117045.1-p1      -            743 6024at5820           -            405   1.9e-59  200.4  12.7   2   2   5.8e-35   8.1e-32  109.4   4.4   113   280    78   241    72   276 0.70 | transcript=PVX_117045.1 | gene=PVX_117045 | organism=Plasmodium_vivax_Sal-1 | gene_product=D13 protein, putative | transcript_product=D13 protein, putative | location=Pv_Sal1_chr12:1489889-1492120(-) | protein_length=743 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 6024at5820           -            405     9e-07   26.9   3.0   1   2   1.2e-09   1.6e-06   26.0   1.9   111   168     7    64     2    72 0.94 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001830.1-p1      -           1471 6024at5820           -            405     9e-07   26.9   3.0   2   2      0.19   2.6e+02   -1.0   0.0   112   131    74    93    66   101 0.86 | transcript=PVX_001830.1 | gene=PVX_001830 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr06:171699-176518(-) | protein_length=1471 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113265.1-p1      -           1376 6024at5820           -            405     1e-05   23.4   5.0   1   3   7.3e-09     1e-05   23.4   5.0    98   159    29    90    15   109 0.85 | transcript=PVX_113265.1 | gene=PVX_113265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1958452-1962582(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113265.1-p1      -           1376 6024at5820           -            405     1e-05   23.4   5.0   2   3       0.8   1.1e+03   -3.1   1.0   216   258   475   515   446   521 0.62 | transcript=PVX_113265.1 | gene=PVX_113265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1958452-1962582(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113265.1-p1      -           1376 6024at5820           -            405     1e-05   23.4   5.0   3   3       2.1   2.9e+03   -4.4   1.2   292   316  1214  1238  1188  1271 0.50 | transcript=PVX_113265.1 | gene=PVX_113265 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1958452-1962582(+) | protein_length=1376 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
