#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   1  14   3.8e-72   2.1e-68  229.2   4.1     1   137     1   140     1   149 0.95 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   2  14  9.9e-115  5.5e-111  370.3   2.2   139   401   298   584   291   587 0.92 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   3  14     6e-50   3.3e-46  155.6   3.0   398   521   676   823   671   830 0.85 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   4  14     0.059   3.3e+02   -3.4   0.0   537   554   890   907   890   909 0.91 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   5  14   7.4e-05      0.41    6.2   0.1   571   596  1003  1028   997  1033 0.88 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   6  14   2.2e-38   1.2e-34  117.3   1.7   596   719  1057  1196  1050  1199 0.89 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   7  14   3.6e-20     2e-16   56.9   0.0   718   795  1224  1314  1207  1322 0.85 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   8  14   9.1e-35   5.1e-31  105.3   0.0   797   886  1352  1447  1350  1452 0.91 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8   9  14   9.7e-15   5.4e-11   38.9   0.0   886   932  1477  1534  1468  1539 0.83 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8  10  14   1.6e-05      0.09    8.4   0.0   932   961  1566  1595  1563  1602 0.90 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080580.1-p1      -           2347 2776at5820           -           1467         0 1914.4  73.8  11  14   7.6e-18   4.2e-14   49.2   0.0   953  1013  1651  1711  1638  1714 0.91 | transcript=PVX_080580.1 | gene=PVX_080580 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:775805-783300(-) | protein_length=2347 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
