#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_002955.1-p1      -           1253 2668at5820           -            661         0 1156.6  90.8   1   4   7.7e-12   8.5e-09   32.7   0.4     1    36     1    36     1    48 0.88 | transcript=PVX_002955.1 | gene=PVX_002955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:411786-415547(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002955.1-p1      -           1253 2668at5820           -            661         0 1156.6  90.8   2   4  7.2e-221    8e-218  723.4  14.3    40   351   225   536   220   542 0.99 | transcript=PVX_002955.1 | gene=PVX_002955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:411786-415547(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002955.1-p1      -           1253 2668at5820           -            661         0 1156.6  90.8   3   4   1.7e-10   1.8e-07   28.3  13.2   341   410   568   641   559   705 0.79 | transcript=PVX_002955.1 | gene=PVX_002955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:411786-415547(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002955.1-p1      -           1253 2668at5820           -            661         0 1156.6  90.8   4   4  1.5e-119  1.7e-116  388.6  40.9   427   661  1005  1253   952  1253 0.92 | transcript=PVX_002955.1 | gene=PVX_002955 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr04:411786-415547(-) | protein_length=1253 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092885.1-p1      -            698 2668at5820           -            661   1.7e-29  101.1   3.1   1   3      0.46   5.1e+02   -2.9   1.4   399   430   102   134    30   146 0.52 | transcript=PVX_092885.1 | gene=PVX_092885 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=Pv_Sal1_chr09:1795363-1797868(-) | protein_length=698 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092885.1-p1      -            698 2668at5820           -            661   1.7e-29  101.1   3.1   2   3   1.6e-32   1.7e-29  101.1   3.1    37   211   343   530   316   547 0.79 | transcript=PVX_092885.1 | gene=PVX_092885 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=Pv_Sal1_chr09:1795363-1797868(-) | protein_length=698 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092885.1-p1      -            698 2668at5820           -            661   1.7e-29  101.1   3.1   3   3     0.064        71   -0.1   0.0   266   314   630   676   619   683 0.85 | transcript=PVX_092885.1 | gene=PVX_092885 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved protein, unknown function | transcript_product=conserved protein, unknown function | location=Pv_Sal1_chr09:1795363-1797868(-) | protein_length=698 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118140.1-p1      -            131 2668at5820           -            661     0.056   10.2  11.0   1   1   5.7e-05     0.063   10.0  11.0   335   446     7   124     2   130 0.72 | transcript=PVX_118140.1 | gene=PVX_118140 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2438469-2439257(+) | protein_length=131 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098023.1-p1      -            143 2668at5820           -            661      0.55    6.9  18.2   1   1   0.00061      0.67    6.6  18.2   330   415    49   134    35   137 0.76 | transcript=PVX_098023.1 | gene=PVX_098023 | organism=Plasmodium_vivax_Sal-1 | gene_product=conserved Plasmodium protein, unknown function | transcript_product=conserved Plasmodium protein, unknown function | location=Pv_Sal1_chr10:962975-963665(+) | protein_length=143 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089765.1-p1      -            428 2668at5820           -            661       2.3    4.8  11.9   1   1    0.0026       2.9    4.5  11.9   350   427   120   194   100   268 0.62 | transcript=PVX_089765.1 | gene=PVX_089765 | organism=Plasmodium_vivax_Sal-1 | gene_product=RAD protein (Pv-fam-e) | transcript_product=RAD protein (Pv-fam-e) | location=Pv_Sal1_chr05:815232-816708(-) | protein_length=428 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2668at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2668at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2668at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:37:12 2026
# [ok]
