#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_085730.1-p1      -            304 8326at5820           -            292  2.6e-213  704.8   2.2   1   1  4.8e-216    3e-213  704.6   2.2     1   292     1   292     1   292 1.00 | transcript=PVX_085730.1 | gene=PVX_085730 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase PP1, putative | transcript_product=serine/threonine protein phosphatase PP1, putative | location=Pv_Sal1_chr13:1469870-1472025(-) | protein_length=304 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099825.1-p1      -            307 8326at5820           -            292   1.3e-88  295.5   3.2   1   1   2.6e-91   1.6e-88  295.2   3.2    27   291    18   282     5   283 0.97 | transcript=PVX_099825.1 | gene=PVX_099825 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 4, putative | transcript_product=serine/threonine protein phosphatase 4, putative | location=Pv_Sal1_chr07:1067165-1068088(-) | protein_length=307 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099685.1-p1      -            507 8326at5820           -            292   2.1e-85  284.9   2.4   1   1     5e-88   3.1e-85  284.4   2.4    29   287   216   480   204   485 0.95 | transcript=PVX_099685.1 | gene=PVX_099685 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase-beta, putative | transcript_product=protein phosphatase-beta, putative | location=Pv_Sal1_chr07:964361-966052(-) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119815.1-p1      -            308 8326at5820           -            292   7.5e-78  260.2   1.6   1   1   1.5e-80   9.4e-78  259.8   1.6    28   287    21   281     7   286 0.96 | transcript=PVX_119815.1 | gene=PVX_119815 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 6, putative | transcript_product=serine/threonine protein phosphatase 6, putative | location=Pv_Sal1_chr08:1182495-1183421(+) | protein_length=308 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117160.1-p1      -            878 8326at5820           -            292   3.2e-67  225.3   1.5   1   1   1.9e-69   1.2e-66  223.4   1.5    32   285   541   829   532   834 0.83 | transcript=PVX_117160.1 | gene=PVX_117160 | organism=Plasmodium_vivax_Sal-1 | gene_product=protein phosphatase containing kelch-like domains, putative | transcript_product=protein phosphatase containing kelch-like domains, putative | location=Pv_Sal1_chr12:1612453-1615217(-) | protein_length=878 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093605.1-p1      -            564 8326at5820           -            292   6.2e-66  221.1   1.2   1   1   1.5e-68   9.1e-66  220.5   1.2    41   286    66   326    50   332 0.90 | transcript=PVX_093605.1 | gene=PVX_093605 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | transcript_product=serine/threonine protein phosphatase 2B catalytic subunit A, putative | location=Pv_Sal1_chr01:672200-674439(-) | protein_length=564 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114750.1-p1      -            692 8326at5820           -            292   3.7e-65  218.5   0.5   1   1   1.1e-67   6.5e-65  217.7   0.5    50   282   425   658   387   664 0.92 | transcript=PVX_114750.1 | gene=PVX_114750 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 5, putative | transcript_product=serine/threonine protein phosphatase 5, putative | location=Pv_Sal1_chr11:665738-667816(-) | protein_length=692 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 8326at5820           -            292   3.9e-47  159.4   2.4   1   2   6.3e-50   3.9e-47  159.4   2.4    55   287   239   481   208   486 0.87 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_085315.1-p1      -            956 8326at5820           -            292   3.9e-47  159.4   2.4   2   2      0.93   5.7e+02   -2.0   0.0   158   188   708   738   704   746 0.86 | transcript=PVX_085315.1 | gene=PVX_085315 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 7, putative | transcript_product=serine/threonine protein phosphatase 7, putative | location=Pv_Sal1_chr13:1094476-1099972(-) | protein_length=956 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 8326at5820           -            292   1.9e-37  127.6   0.9   1   2   4.1e-06    0.0025   15.6   0.0    29    95  1130  1199  1118  1209 0.81 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_001775.1-p1      -           2058 8326at5820           -            292   1.9e-37  127.6   0.9   2   2     2e-33   1.2e-30  105.2   0.7    81   279  1252  1498  1247  1506 0.76 | transcript=PVX_001775.1 | gene=PVX_001775 | organism=Plasmodium_vivax_Sal-1 | gene_product=serine/threonine protein phosphatase 8, putative | transcript_product=serine/threonine protein phosphatase 8, putative | location=Pv_Sal1_chr06:122158-128486(-) | protein_length=2058 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
