#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   1  13         0         0 2378.6 212.7     1  1268     4  1330     4  1339 0.97 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   2  13  4.9e-186  4.5e-183  608.7  55.8  1266  1589  1393  1726  1385  1754 0.95 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   3  13  1.2e-105  1.1e-102  341.9  26.2  1572  1757  1774  1959  1757  1970 0.95 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   4  13    1e-108  9.3e-106  352.1  11.4  1749  1928  2236  2425  2231  2467 0.91 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   5  13  4.2e-136  3.8e-133  443.0  29.4  1921  2149  2572  2803  2563  2867 0.94 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   6  13         0         0 1078.4 122.0  2146  2746  2871  3555  2861  3589 0.91 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   7  13  1.4e-162  1.2e-159  530.9  34.1  2753  3012  3610  3869  3597  3875 0.98 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   8  13   4.6e-52   4.3e-49  164.0   5.5  3010  3102  3982  4076  3974  4082 0.91 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8   9  13   5.1e-95   4.7e-92  306.6  32.7  3100  3277  4198  4380  4193  4435 0.91 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8  10  13         0         0 1101.2  61.8  3273  3822  4468  5033  4425  5041 0.94 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117175.1-p1      -           6398 17at5820             -           4792         0 9060.0 779.8  11  13  7.6e-141    7e-138  458.7  33.1  3820  4074  5078  5343  5074  5361 0.95 | transcript=PVX_117175.1 | gene=PVX_117175 | organism=Plasmodium_vivax_Sal-1 | gene_product=dynein beta chain, putative | transcript_product=dynein beta chain, putative | location=Pv_Sal1_chr12:1623826-1644061(-) | protein_length=6398 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
