#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092345.1-p1      -           1562 813at5820            -           1226         0 2355.4  76.9   1   3         0         0 1238.7  48.5     1   700    53   847    53   860 0.92 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 813at5820            -           1226         0 2355.4  76.9   2   3  6.2e-202  1.1e-198  660.7   5.2   710  1029   961  1320   956  1326 0.93 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092345.1-p1      -           1562 813at5820            -           1226         0 2355.4  76.9   3   3  4.3e-139  7.9e-136  452.5   7.3  1029  1226  1365  1562  1356  1562 0.99 | transcript=PVX_092345.1 | gene=PVX_092345 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase I subunit RPA2, putative | transcript_product=DNA-directed RNA polymerase I subunit RPA2, putative | location=Pv_Sal1_chr09:1297366-1302202(-) | protein_length=1562 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 813at5820            -           1226  1.6e-110  368.7  24.6   1   5   6.1e-14   1.1e-10   38.0   6.4    42   207   229   395   205   425 0.84 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 813at5820            -           1226  1.6e-110  368.7  24.6   2   5     1e-12   1.9e-09   33.9   0.1   476   640   663   819   638   876 0.75 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 813at5820            -           1226  1.6e-110  368.7  24.6   3   5   1.5e-33   2.7e-30  103.0   0.1   712   864   854  1009   832  1013 0.91 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 813at5820            -           1226  1.6e-110  368.7  24.6   4   5   5.4e-31     1e-27   94.5   0.0   920  1005  1175  1265  1123  1269 0.81 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084365.1-p1      -           1427 813at5820            -           1226  1.6e-110  368.7  24.6   5   5   3.5e-35   6.4e-32  108.4   1.6  1040  1154  1268  1382  1261  1425 0.96 | transcript=PVX_084365.1 | gene=PVX_084365 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase III subunit, putative | transcript_product=DNA-directed RNA polymerase III subunit, putative | location=Pv_Sal1_chr13:226736-231019(-) | protein_length=1427 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 813at5820            -           1226  1.1e-106  356.0  19.7   1   5   3.4e-09   6.2e-06   22.3   0.0    44   184    48   211    37   228 0.78 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 813at5820            -           1226  1.1e-106  356.0  19.7   2   5   3.7e-09   6.8e-06   22.1   0.0   472   540   488   558   456   571 0.72 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002755.1-p1      -           1339 813at5820            -           1226  1.1e-106  356.0  19.7   3   5   3.1e-34   5.6e-31  105.2   1.1   690   852   675   835   619   843 0.83 | transcript=PVX_002755.1 | gene=PVX_002755 | organism=Plasmodium_vivax_Sal-1 | gene_product=DNA-directed RNA polymerase II subunit RPB2, putative | transcript_product=DNA-directed RNA polymerase II subunit RPB2, putative | location=Pv_Sal1_chr04:241779-245906(-) | protein_length=1339 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
