#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_000715.1-p1      -            765 3749at5820           -            537    1e-296  983.1  28.0   1   3   1.3e-54     1e-51  174.6   6.0     1   107    95   202    95   232 0.91 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 3749at5820           -            537    1e-296  983.1  28.0   2   3   3.1e-07   0.00025   18.2   0.0   104   136   251   291   247   323 0.78 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_000715.1-p1      -            765 3749at5820           -            537    1e-296  983.1  28.0   3   3  4.9e-242  3.9e-239  793.1  15.8   129   537   336   765   321   765 0.96 | transcript=PVX_000715.1 | gene=PVX_000715 | organism=Plasmodium_vivax_Sal-1 | gene_product=ribosome biogenesis GTPase A, putative | transcript_product=ribosome biogenesis GTPase A, putative | location=Pv_Sal1_chr03:354819-357116(-) | protein_length=765 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084975.1-p1      -            769 3749at5820           -            537   1.3e-08   32.3   0.2   1   1   3.3e-11   2.6e-08   31.3   0.2   280   418   487   627   477   643 0.71 | transcript=PVX_084975.1 | gene=PVX_084975 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:819031-821502(-) | protein_length=769 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 3749at5820           -            537   2.3e-06   24.9  12.4   1   2   4.2e-08   3.3e-05   21.1   2.1   176   270    87   186    79   193 0.81 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084710.1-p1      -            417 3749at5820           -            537   2.3e-06   24.9  12.4   2   2    0.0015       1.2    6.1   2.8   318   339   205   226   194   359 0.83 | transcript=PVX_084710.1 | gene=PVX_084710 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr13:561330-562583(-) | protein_length=417 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080030.1-p1      -            365 3749at5820           -            537   0.00018   18.7   0.1   1   1   5.4e-07   0.00043   17.4   0.0   318   370    66   121    18   133 0.83 | transcript=PVX_080030.1 | gene=PVX_080030 | organism=Plasmodium_vivax_Sal-1 | gene_product=developmentally regulated GTP-binding protein 1, putative | transcript_product=developmentally regulated GTP-binding protein 1, putative | location=Pv_Sal1_chr10:306279-307376(+) | protein_length=365 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_196290-t26_1-p1  -            390 3749at5820           -            537    0.0002   18.5   0.0   1   1     6e-07   0.00047   17.3   0.0   318   370    67   122    17   133 0.83 | transcript=PVX_196290-t26_1 | gene=PVX_196290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000891:2-1174(+) | protein_length=390 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_222290-t26_1-p1  -            410 3749at5820           -            537   0.00023   18.3   0.0   1   1   6.6e-07   0.00052   17.1   0.0   318   370    66   121    18   132 0.83 | transcript=PVX_222290-t26_1 | gene=PVX_222290 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000737:96-1328(+) | protein_length=410 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_080570.1-p1      -            288 3749at5820           -            537    0.0019   15.2   0.7   1   2   1.1e-05    0.0087   13.1   0.1   317   389    86   160    51   173 0.72 | transcript=PVX_080570.1 | gene=PVX_080570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr10:771147-773350(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_080570.1-p1      -            288 3749at5820           -            537    0.0019   15.2   0.7   2   2      0.08        64    0.3   0.1   173   198   205   230   196   238 0.86 | transcript=PVX_080570.1 | gene=PVX_080570 | organism=Plasmodium_vivax_Sal-1 | gene_product=GTP-binding protein, putative | transcript_product=GTP-binding protein, putative | location=Pv_Sal1_chr10:771147-773350(+) | protein_length=288 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/3749at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/3749at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:38:29 2026
# [ok]
