#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_111220.1-p1      -           1218 1632at5820           -            958         0 2045.8  27.9   1   4   2.2e-25   1.5e-22   77.6   0.7     1    58     4    69     4    79 0.91 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 1632at5820           -            958         0 2045.8  27.9   2   4   1.1e-06   0.00077   15.7   0.3    53    77   103   127    82   133 0.78 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 1632at5820           -            958         0 2045.8  27.9   3   4   2.3e-28   1.6e-25   87.5   0.1    76   146   240   325   223   331 0.87 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_111220.1-p1      -           1218 1632at5820           -            958         0 2045.8  27.9   4   4         0         0 1876.1  10.6   132   958   368  1218   341  1218 0.98 | transcript=PVX_111220.1 | gene=PVX_111220 | organism=Plasmodium_vivax_Sal-1 | gene_product=RNA helicase, putative | transcript_product=RNA helicase, putative | location=Pv_Sal1_chr06:633503-637831(-) | protein_length=1218 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099300.1-p1      -            840 1632at5820           -            958  6.3e-209  694.5   1.4   1   1  1.2e-211  8.2e-209  694.1   1.4   304   921   184   819   179   834 0.94 | transcript=PVX_099300.1 | gene=PVX_099300 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43, putative | location=Pv_Sal1_chr07:660454-662976(-) | protein_length=840 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 1632at5820           -            958    1e-196  654.1  20.1   1   2   3.7e-87   2.6e-84  282.1   3.4   306   543   429   671   417   680 0.95 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115175.1-p1      -           1127 1632at5820           -            958    1e-196  654.1  20.1   2   2  5.1e-116  3.5e-113  377.6   8.9   549   921   745  1122   731  1126 0.95 | transcript=PVX_115175.1 | gene=PVX_115175 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | transcript_product=pre-mRNA-splicing factor ATP-dependent RNA helicase PRP16, putative | location=Pv_Sal1_chr11:258526-261909(+) | protein_length=1127 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 1632at5820           -            958  1.5e-161  537.7  21.0   1   2   1.4e-88   9.9e-86  286.7   3.5   299   573   398   671   390   677 0.95 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_100525.1-p1      -           1094 1632at5820           -            958  1.5e-161  537.7  21.0   2   2   2.1e-79   1.4e-76  256.4   9.6   575   921   726  1089   718  1092 0.91 | transcript=PVX_100525.1 | gene=PVX_100525 | organism=Plasmodium_vivax_Sal-1 | gene_product=pre-mRNA splicing factor RNA helicase, putative | transcript_product=pre-mRNA splicing factor RNA helicase, putative | location=Pv_Sal1_chr14:2153991-2157275(-) | protein_length=1094 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1632at5820           -            958  1.4e-122  408.7  16.4   1   5   4.7e-10   3.3e-07   26.9   0.0   308   351     3    46     1    61 0.90 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089295.1-p1      -            809 1632at5820           -            958  1.4e-122  408.7  16.4   2   5   9.6e-45   6.7e-42  141.7   0.1   361   514    79   233    73   273 0.92 | transcript=PVX_089295.1 | gene=PVX_089295 | organism=Plasmodium_vivax_Sal-1 | gene_product=ATP-dependent RNA helicase prh1, putative | transcript_product=ATP-dependent RNA helicase prh1, putative | location=Pv_Sal1_chr05:442308-445059(+) | protein_length=809 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
