#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   1   9   1.3e-44   7.4e-41  138.7   0.6     1    95     4   111     4   115 0.86 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   2   9   5.7e-58   3.2e-54  182.8   0.0    81   192   126   240   121   242 0.95 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   3   9   8.8e-23   4.9e-19   66.5   0.8   193   243   277   327   272   338 0.87 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   4   9     4e-36   2.2e-32  110.6   6.5   238   309   372   443   349   446 0.89 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   5   9   1.9e-07    0.0011   15.8   0.1   310   342   467   512   463   522 0.75 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   6   9   1.6e-77     9e-74  247.4  12.0   339   498   566   747   562   751 0.89 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   7   9   5.4e-31     3e-27   93.7   0.0   495   567   777   851   770   854 0.95 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   8   9   5.7e-29   3.2e-25   87.0   0.1   565   648   885   989   882   998 0.85 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_115105.1-p1      -           1073 2366at5820           -            702  2.2e-293  973.4  57.5   9   9   5.6e-19   3.1e-15   54.0   0.0   652   702  1016  1069   999  1069 0.91 | transcript=PVX_115105.1 | gene=PVX_115105 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:307273-310494(-) | protein_length=1073 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2366at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/2366at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/2366at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:35:22 2026
# [ok]
