#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   1  10   7.8e-27   4.3e-23   79.5   0.1    12    72    99   159    93   167 0.96 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   2  10   2.6e-23   1.5e-19   67.8   0.0    85   158   270   358   261   364 0.79 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   3  10   7.3e-70     4e-66  222.0   5.6   158   277   424   543   421   547 0.96 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   4  10   2.3e-33   1.3e-29  101.1   0.4   271   351   586   669   580   671 0.91 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   5  10   7.5e-46   4.2e-42  142.5   0.8   347   452   688   799   686   810 0.93 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   6  10   6.9e-92   3.8e-88  294.9  15.4   449   632   843  1027   838  1032 0.97 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   7  10   5.1e-15   2.8e-11   40.3   0.1   629   680  1062  1118  1058  1125 0.91 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   8  10   7.7e-22   4.2e-18   62.9   0.6   681   732  1169  1220  1164  1228 0.93 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2   9  10  7.2e-138    4e-134  447.2  25.8   730   978  1280  1536  1273  1540 0.96 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_113645.1-p1      -           1874 1034at5820           -           1177         0 1774.7 118.2  10  10  1.9e-109    1e-105  353.1  16.7   970  1177  1648  1874  1637  1874 0.94 | transcript=PVX_113645.1 | gene=PVX_113645 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr11:1608234-1613858(-) | protein_length=1874 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
