#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   1   7   4.7e-43   1.3e-39  134.7   1.1     1   107    29   140    29   146 0.94 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   2   7   1.4e-80     4e-77  258.7  31.0   110   312   219   451   206   459 0.89 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   3   7   2.9e-21     8e-18   62.6   0.1   312   363   479   530   472   534 0.94 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   4   7     0.034        94   -0.4   0.0   361   384   591   614   589   618 0.82 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   5   7   3.3e-17     9e-14   49.2   0.5   376   418   652   694   644   699 0.92 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   6   7   2.2e-94   6.1e-91  304.4  17.2   412   643   724  1004   714  1006 0.88 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_101155.1-p1      -           1165 1697at5820           -            721  3.7e-272  903.4  75.4   7   7   2.3e-34   6.3e-31  106.0   0.0   640   720  1077  1164  1075  1165 0.95 | transcript=PVX_101155.1 | gene=PVX_101155 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:2678895-2682392(-) | protein_length=1165 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002735.1-p1      -           1053 1697at5820           -            721   0.00028   17.9   0.1   1   2     0.033        91   -0.4   0.0   194   260   174   240   165   242 0.81 | transcript=PVX_002735.1 | gene=PVX_002735 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr04:224959-228540(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_002735.1-p1      -           1053 1697at5820           -            721   0.00028   17.9   0.1   2   2   5.8e-07    0.0016   15.4   0.0   677   720  1005  1048   990  1049 0.91 | transcript=PVX_002735.1 | gene=PVX_002735 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr04:224959-228540(+) | protein_length=1053 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/1697at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/1697at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:32:12 2026
# [ok]
