#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_089425.1-p1      -            690 3994at5820           -            641         0 1477.0  29.4   1   2         0         0 1469.5   6.3     1   634     8   657     8   657 0.99 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_089425.1-p1      -            690 3994at5820           -            641         0 1477.0  29.4   2   2   5.3e-07   0.00029   17.3  16.3   605   641   652   690   652   690 0.68 | transcript=PVX_089425.1 | gene=PVX_089425 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock 70 kDa protein, putative | transcript_product=heat shock 70 kDa protein, putative | location=Pv_Sal1_chr05:541285-543357(-) | protein_length=690 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_099315.1-p1      -            652 3994at5820           -            641  1.3e-234  778.4  10.3   1   1    3e-237  1.7e-234  778.0  10.3    10   605    30   635    22   643 0.95 | transcript=PVX_099315.1 | gene=PVX_099315 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr07:670460-672876(+) | protein_length=652 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092310.1-p1      -            663 3994at5820           -            641  1.7e-177  589.6  11.0   1   1  3.7e-180    2e-177  589.4  11.0     7   564    40   590    33   644 0.92 | transcript=PVX_092310.1 | gene=PVX_092310 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 70, putative | transcript_product=heat shock protein 70, putative | location=Pv_Sal1_chr09:1253849-1255840(+) | protein_length=663 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3994at5820           -            641   4.6e-40  135.6   6.1   1   3   5.8e-31   3.2e-28   96.5   2.3    11   252     4   251     2   271 0.87 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3994at5820           -            641   4.6e-40  135.6   6.1   2   3   7.9e-17   4.4e-14   49.8   0.1   267   387   294   414   276   421 0.89 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087970.1-p1      -            887 3994at5820           -            641   4.6e-40  135.6   6.1   3   3       6.7   3.7e+03   -6.2   4.2   555   582   754   779   646   852 0.66 | transcript=PVX_087970.1 | gene=PVX_087970 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr01:324282-326945(+) | protein_length=887 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3994at5820           -            641   4.2e-23   79.6   1.8   1   3    0.0017      0.96    5.7   0.0    10    75    26    92    18   116 0.88 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3994at5820           -            641   4.2e-23   79.6   1.8   2   3   7.5e-26   4.2e-23   79.6   1.8   119   388   165   450   135   504 0.81 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_083105.1-p1      -            928 3994at5820           -            641   4.2e-23   79.6   1.8   3   3      0.87   4.8e+02   -3.2   3.3   515   584   648   717   625   740 0.77 | transcript=PVX_083105.1 | gene=PVX_083105 | organism=Plasmodium_vivax_Sal-1 | gene_product=heat shock protein 110, putative | transcript_product=heat shock protein 110, putative | location=Pv_Sal1_chr12:403593-406379(-) | protein_length=928 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079865.1-p1      -            463 3994at5820           -            641    0.0001   18.8  17.0   1   3   1.8e-07    0.0001   18.8  17.0   535   634   231   331   209   331 0.54 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079865.1-p1      -            463 3994at5820           -            641    0.0001   18.8  17.0   2   3        10   5.5e+03  -22.6  56.2   617   634   338   355   318   377 0.54 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079865.1-p1      -            463 3994at5820           -            641    0.0001   18.8  17.0   3   3     0.006       3.3    3.9  26.8   608   632   376   400   372   409 0.62 | transcript=PVX_079865.1 | gene=PVX_079865 | organism=Plasmodium_vivax_Sal-1 | gene_product=Hsc70-interacting protein, putative | transcript_product=Hsc70-interacting protein, putative | location=Pv_Sal1_chr10:163120-164936(-) | protein_length=463 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_084980.1-p1      -            895 3994at5820           -            641      0.21    7.9   2.5   1   1   0.00063      0.35    7.1   2.5   597   631    64    98    58   106 0.73 | transcript=PVX_084980.1 | gene=PVX_084980 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr13:823570-826257(+) | protein_length=895 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092635.1-p1      -            939 3994at5820           -            641       1.2    5.3  13.5   1   1    0.0045       2.5    4.3  13.5   605   634   441   470   428   493 0.81 | transcript=PVX_092635.1 | gene=PVX_092635 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr09:1601982-1604801(+) | protein_length=939 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
