#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_087025.1-p1      -            668 5700at5820           -            479  8.8e-242  801.2  19.2   1   4   1.9e-31   1.8e-28   97.9   0.1     1    79     1   103     1   119 0.81 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087025.1-p1      -            668 5700at5820           -            479  8.8e-242  801.2  19.2   2   4   2.6e-08   2.4e-05   21.6   0.0    76    97   139   160   135   168 0.90 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087025.1-p1      -            668 5700at5820           -            479  8.8e-242  801.2  19.2   3   4  2.7e-144  2.5e-141  470.0   9.0    97   356   202   497   186   506 0.90 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_087025.1-p1      -            668 5700at5820           -            479  8.8e-242  801.2  19.2   4   4   8.6e-67   7.9e-64  214.4   0.1   360   479   547   667   536   667 0.98 | transcript=PVX_087025.1 | gene=PVX_087025 | organism=Plasmodium_vivax_Sal-1 | gene_product=delta tubulin, putative | transcript_product=delta tubulin, putative | location=Pv_Sal1_chr07:1293229-1295235(+) | protein_length=668 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093560.1-p1      -            452 5700at5820           -            479   2.3e-26   90.9   9.5   1   2   4.8e-06    0.0044   14.1   0.3     3    92     5    92     3    95 0.68 | transcript=PVX_093560.1 | gene=PVX_093560 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=Pv_Sal1_chr01:635545-636903(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_093560.1-p1      -            452 5700at5820           -            479   2.3e-26   90.9   9.5   2   2     5e-26   4.6e-23   80.0   5.2   106   318    86   299    78   320 0.81 | transcript=PVX_093560.1 | gene=PVX_093560 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin gamma chain, putative | transcript_product=tubulin gamma chain, putative | location=Pv_Sal1_chr01:635545-636903(-) | protein_length=452 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118660.1-p1      -            507 5700at5820           -            479   3.9e-17   60.5  28.5   1   3   2.4e-06    0.0022   15.1   0.5     3    93     5   103     3   105 0.68 | transcript=PVX_118660.1 | gene=PVX_118660 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=Pv_Sal1_chr12:2953563-2955086(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118660.1-p1      -            507 5700at5820           -            479   3.9e-17   60.5  28.5   2   3   3.1e-19   2.8e-16   57.6  11.9   106   320    96   316    91   322 0.81 | transcript=PVX_118660.1 | gene=PVX_118660 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=Pv_Sal1_chr12:2953563-2955086(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_118660.1-p1      -            507 5700at5820           -            479   3.9e-17   60.5  28.5   3   3     0.054        50    0.7   3.1   375   474   330   433   319   438 0.63 | transcript=PVX_118660.1 | gene=PVX_118660 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin epsilon chain, putative | transcript_product=tubulin epsilon chain, putative | location=Pv_Sal1_chr12:2953563-2955086(+) | protein_length=507 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094635.1-p1      -            445 5700at5820           -            479   4.2e-17   60.3   0.0   1   3   0.00039      0.36    7.8   0.0     3    72     4    73     2    77 0.70 | transcript=PVX_094635.1 | gene=PVX_094635 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=Pv_Sal1_chr08:407428-409625(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094635.1-p1      -            445 5700at5820           -            479   4.2e-17   60.3   0.0   2   3   7.9e-17   7.3e-14   49.7   0.0   107   236    86   213    83   243 0.89 | transcript=PVX_094635.1 | gene=PVX_094635 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=Pv_Sal1_chr08:407428-409625(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094635.1-p1      -            445 5700at5820           -            479   4.2e-17   60.3   0.0   3   3      0.79   7.3e+02   -3.1   0.0   415   474   364   423   356   425 0.78 | transcript=PVX_094635.1 | gene=PVX_094635 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin beta chain, putative | transcript_product=tubulin beta chain, putative | location=Pv_Sal1_chr08:407428-409625(-) | protein_length=445 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098630.1-p1      -            453 5700at5820           -            479   2.6e-16   57.7   0.0   1   3     0.036        33    1.3   0.0    57    74    60    77    56    83 0.88 | transcript=PVX_098630.1 | gene=PVX_098630 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr07:76588-78678(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098630.1-p1      -            453 5700at5820           -            479   2.6e-16   57.7   0.0   2   3     2e-16   1.8e-13   48.4   0.0   106   308    87   289    78   297 0.85 | transcript=PVX_098630.1 | gene=PVX_098630 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr07:76588-78678(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_098630.1-p1      -            453 5700at5820           -            479   2.6e-16   57.7   0.0   3   3    0.0055         5    4.0   0.0   413   475   372   434   364   438 0.83 | transcript=PVX_098630.1 | gene=PVX_098630 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr07:76588-78678(+) | protein_length=453 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090155.1-p1      -            450 5700at5820           -            479     3e-16   57.5   0.0   1   3     0.034        31    1.4   0.0    57    74    60    77    54    83 0.88 | transcript=PVX_090155.1 | gene=PVX_090155 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr05:1196388-1198148(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090155.1-p1      -            450 5700at5820           -            479     3e-16   57.5   0.0   2   3   2.4e-16   2.2e-13   48.1   0.0   106   308    87   289    78   297 0.85 | transcript=PVX_090155.1 | gene=PVX_090155 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr05:1196388-1198148(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_090155.1-p1      -            450 5700at5820           -            479     3e-16   57.5   0.0   3   3    0.0054         5    4.0   0.0   413   475   372   434   364   438 0.83 | transcript=PVX_090155.1 | gene=PVX_090155 | organism=Plasmodium_vivax_Sal-1 | gene_product=tubulin alpha chain, putative | transcript_product=tubulin alpha chain, putative | location=Pv_Sal1_chr05:1196388-1198148(+) | protein_length=450 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5700at5820.hmm
# Target file:     /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa
# Option settings: hmmsearch --domtblout /v3/work/00_inventory/busco/Sal-I_proteins/run_plasmodium_odb10/hmmer_output/initial_run_results/5700at5820.out --cpu 1 /v3/work/00_inventory/busco/busco_downloads/lineages/plasmodium_odb10/hmms/5700at5820.hmm /v3/inputs/annotations/plasmodb-68/Sal-I.proteins.fa 
# Current dir:     /v3/work/00_inventory/busco
# Date:            Tue May 19 17:42:58 2026
# [ok]
