#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_097990.1-p1      -            270 14730at5820          -            238   5.3e-97  322.4  37.3   1   1   2.1e-99   1.3e-96  321.1  37.3     1   236     1   252     1   269 0.72 | transcript=PVX_097990.1 | gene=PVX_097990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr10:995186-995998(-) | protein_length=270 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117070.1-p1      -            171 14730at5820          -            238    0.0015   16.5  17.9   1   1   2.9e-06    0.0018   16.2  17.9   138   236    46   161    12   169 0.41 | transcript=PVX_117070.1 | gene=PVX_117070 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein | transcript_product=hypothetical protein | location=Pv_Sal1_chr12:1535975-1537104(+) | protein_length=171 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_117990.1-p1      -            357 14730at5820          -            238     0.043   11.7  14.6   1   1   0.00012     0.075   10.9  14.6   128   184    50   112     9   130 0.44 | transcript=PVX_117990.1 | gene=PVX_117990 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr12:2315702-2316775(+) | protein_length=357 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_091590.1-p1      -            368 14730at5820          -            238     0.063   11.1  19.6   1   1   0.00017      0.11   10.4  19.6   136   218    19   117     3   142 0.32 | transcript=PVX_091590.1 | gene=PVX_091590 | organism=Plasmodium_vivax_Sal-1 | gene_product=tRNA methyltransferase, putative | transcript_product=tRNA methyltransferase, putative | location=Pv_Sal1_chr09:630720-632353(+) | protein_length=368 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_079195-t26_1-p1  -            427 14730at5820          -            238      0.55    8.1  19.8   1   1    0.0017         1    7.2  19.8   161   218   181   240   146   248 0.53 | transcript=PVX_079195-t26_1 | gene=PVX_079195 | organism=Plasmodium_vivax_Sal-1 | gene_product=unspecified product | transcript_product=unspecified product | location=AAKM01000151:2277-3935(-) | protein_length=427 | sequence_SO=contig | SO=protein_coding_gene | is_pseudo=false
PVX_097920.1-p1      -            606 14730at5820          -            238      0.93    7.3   8.6   1   1    0.0026       1.6    6.5   8.6   124   161    79   130    75   162 0.61 | transcript=PVX_097920.1 | gene=PVX_097920 | organism=Plasmodium_vivax_Sal-1 | gene_product=subtilisin-like serine protease, putative | transcript_product=subtilisin-like serine protease, putative | location=Pv_Sal1_chr10:1048195-1050015(+) | protein_length=606 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123470.1-p1      -            404 14730at5820          -            238       1.8    6.4  22.8   1   1     0.005       3.1    5.6  22.8   131   216   176   259   163   279 0.30 | transcript=PVX_123470.1 | gene=PVX_123470 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1458454-1459668(+) | protein_length=404 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123190.1-p1      -           1424 14730at5820          -            238       2.3    6.0  36.8   1   2       3.8   2.4e+03   -3.8   2.1   184   212   802   830   790   854 0.32 | transcript=PVX_123190.1 | gene=PVX_123190 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1213365-1217810(+) | protein_length=1424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_123190.1-p1      -           1424 14730at5820          -            238       2.3    6.0  36.8   2   2   2.1e-05     0.013   13.4  27.0   160   233  1147  1261  1084  1274 0.54 | transcript=PVX_123190.1 | gene=PVX_123190 | organism=Plasmodium_vivax_Sal-1 | gene_product=hypothetical protein, conserved | transcript_product=hypothetical protein, conserved | location=Pv_Sal1_chr14:1213365-1217810(+) | protein_length=1424 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 14730at5820          -            238       6.3    4.6  14.5   1   2   0.00057      0.35    8.7   8.2   128   191    32    92     8   139 0.50 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_094390.1-p1      -           1251 14730at5820          -            238       6.3    4.6  14.5   2   2      0.78   4.8e+02   -1.5   0.4    39    60   407   428   402   442 0.74 | transcript=PVX_094390.1 | gene=PVX_094390 | organism=Plasmodium_vivax_Sal-1 | gene_product=U5 small nuclear ribonuclear protein, putative | transcript_product=U5 small nuclear ribonuclear protein, putative | location=Pv_Sal1_chr08:205836-209591(-) | protein_length=1251 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
