#                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
PVX_092575.1-p1      -            627 4564at5820           -            478  1.1e-279  926.3  30.2   1   3     1e-49     3e-47  159.8   2.9     1    86     1    86     1   100 0.94 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 4564at5820           -            478  1.1e-279  926.3  30.2   2   3     0.083        24    1.8   0.1    76    92   100   116    96   125 0.85 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_092575.1-p1      -            627 4564at5820           -            478  1.1e-279  926.3  30.2   3   3  4.1e-234  1.2e-231  767.9  15.3   103   474   210   618   195   626 0.92 | transcript=PVX_092575.1 | gene=PVX_092575 | organism=Plasmodium_vivax_Sal-1 | gene_product=AAA family ATPase, putative | transcript_product=AAA family ATPase, putative | location=Pv_Sal1_chr09:1537887-1540705(-) | protein_length=627 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4564at5820           -            478   7.2e-32  109.1   0.8   1   2   1.4e-16   4.2e-14   50.5   0.0   219   379   512   653   490   696 0.88 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_088085.1-p1      -           1089 4564at5820           -            478   7.2e-32  109.1   0.8   2   2     2e-18   5.8e-16   56.7   0.1   214   384   827   979   794  1021 0.86 | transcript=PVX_088085.1 | gene=PVX_088085 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle ATPase, putative | transcript_product=cell division cycle ATPase, putative | location=Pv_Sal1_chr01:417025-420294(-) | protein_length=1089 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 4564at5820           -            478     6e-22   76.4   0.0   1   2   3.1e-11   9.2e-09   32.9   0.1   220   380   244   385   240   392 0.86 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_114095.1-p1      -            822 4564at5820           -            478     6e-22   76.4   0.0   2   2   7.5e-13   2.2e-10   38.3   0.0   219   378   516   659   479   669 0.83 | transcript=PVX_114095.1 | gene=PVX_114095 | organism=Plasmodium_vivax_Sal-1 | gene_product=cell division cycle protein 48 homologue, putative | transcript_product=cell division cycle protein 48 homologue, putative | location=Pv_Sal1_chr11:1248239-1250874(+) | protein_length=822 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 4564at5820           -            478   1.2e-16   58.9   5.5   1   4   1.1e-16   3.3e-14   50.9   0.1   217   380   289   445   270   522 0.82 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 4564at5820           -            478   1.2e-16   58.9   5.5   2   4      0.84   2.5e+02   -1.5   0.1   369   407   519   557   493   569 0.73 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 4564at5820           -            478   1.2e-16   58.9   5.5   3   4   0.00046      0.13    9.3   0.3   215   286   567   644   555   648 0.76 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
PVX_119275.1-p1      -            785 4564at5820           -            478   1.2e-16   58.9   5.5   4   4       4.5   1.3e+03   -3.9   0.0    89   123   730   761   715   772 0.68 | transcript=PVX_119275.1 | gene=PVX_119275 | organism=Plasmodium_vivax_Sal-1 | gene_product=N-ethylmaleimide-sensitive fusion protein, putative | transcript_product=N-ethylmaleimide-sensitive fusion protein, putative | location=Pv_Sal1_chr08:1598361-1600718(+) | protein_length=785 | sequence_SO=chromosome | SO=protein_coding_gene | is_pseudo=false
